product_id,category,client_id,amount,date
P086,Toys,C0914,489.68,2023-01-17
P048,Electronics,C0004,173.6,2023-09-04
P076,Books,C0409,235.5,2023-04-18
P010,Home,C0634,338.44,2023-03-25
P095,Books,C0243,388.89,2023-10-28
P063,Electronics,C0064,471.41,2023-09-10
P041,Books,C0160,228.26,2023-03-03
P074,Clothing,C0889,41.24,2023-04-12
P084,Clothing,C0798,382.84,2023-11-14
P044,Home,C0216,200.29,2023-08-20
P019,Electronics,C0925,263.37,2023-09-26
P069,Toys,C0534,293.97,2023-04-02
P043,Clothing,C0423,346.0,2023-08-29
P049,Home,C0002,285.96,2023-09-04
P019,Home,C0335,231.08,2023-07-16
P056,Home,C0027,439.61,2023-10-04
P063,Electronics,C0392,397.14,2023-03-02
P081,Books,C0940,51.54,2023-10-12
P030,Books,C0932,154.3,2023-03-29
P062,Books,C0649,246.03,2023-11-19
P055,Books,C0226,430.82,2023-12-17
P049,Clothing,C0140,193.33,2023-06-19
P091,Home,C0267,57.59,2023-09-28
P046,Clothing,C0653,393.05,2023-06-13
P086,Electronics,C0828,482.08,2023-12-09
P024,Books,C0106,467.77,2023-07-15
P099,Electronics,C0392,379.71,2023-12-20
P091,Toys,C0619,499.45,2023-03-30
P082,Books,C0995,488.88,2023-03-30
P019,Home,C0085,347.47,2023-06-28
P057,Clothing,C0399,136.46,2023-06-13
P099,Home,C0649,431.02,2023-04-04
P084,Home,C0299,244.46,2023-01-26
P054,Home,C0204,335.63,2023-01-13
P057,Books,C0184,468.38,2023-06-21
P035,Electronics,C0276,475.83,2023-11-15
P086,Books,C0192,482.99,2023-05-30
P086,Electronics,C0011,262.38,2023-08-19
P094,Electronics,C0701,253.74,2023-12-26
P090,Books,C0693,423.68,2023-09-08
P081,Home,C0731,157.68,2023-12-04
P046,Electronics,C0226,308.54,2023-05-02
P003,Clothing,C0414,119.16,2023-01-30
P100,Books,C0878,463.95,2023-09-15
P056,Books,C0061,224.81,2023-07-06
P056,Clothing,C0976,460.97,2023-09-21
P092,Books,C0043,227.35,2023-12-08
P050,Books,C0626,291.29,2023-06-28
P055,Books,C0351,427.91,2023-07-30
P049,Home,C0653,89.06,2023-08-28
P091,Toys,C0568,456.91,2023-08-12
P022,Home,C0206,226.62,2023-07-05
P100,Home,C0149,304.04,2023-04-29
P002,Books,C0048,175.28,2023-04-22
P010,Home,C0532,369.58,2023-08-11
P048,Home,C0039,268.84,2023-12-02
P011,Books,C0860,444.57,2023-09-02
P030,Toys,C0872,387.98,2023-06-22
P036,Home,C0984,430.62,2023-12-02
P059,Books,C0139,236.59,2023-01-17
P023,Books,C0965,400.64,2023-02-26
P059,Home,C0014,164.33,2023-10-05
P071,Electronics,C0573,325.28,2023-09-22
P080,Toys,C0933,309.97,2023-11-02
P081,Clothing,C0563,331.22,2023-04-14
P059,Toys,C0696,496.55,2023-05-21
P001,Electronics,C0429,157.04,2023-03-26
P066,Toys,C0946,189.4,2023-08-01
P042,Electronics,C0713,80.92,2023-03-28
P015,Clothing,C0701,146.63,2023-03-22
P031,Home,C0167,457.11,2023-02-03
P082,Books,C0524,409.19,2023-12-25
P020,Electronics,C0070,324.15,2023-11-13
P040,Books,C0941,408.6,2023-02-18
P065,Clothing,C0227,191.59,2023-01-26
P004,Books,C0034,67.61,2023-05-03
P096,Home,C0971,478.97,2023-02-23
P037,Electronics,C0918,10.94,2023-06-04
P018,Electronics,C0092,493.86,2023-12-24
P032,Books,C0155,41.59,2023-02-21
P050,Electronics,C0471,48.24,2023-08-25
P014,Books,C0133,334.73,2023-11-10
P046,Clothing,C0769,153.4,2023-05-07
P026,Clothing,C0975,422.29,2023-06-29
P018,Electronics,C0840,245.78,2023-12-17
P026,Electronics,C0064,192.55,2023-03-20
P076,Clothing,C0329,248.81,2023-09-04
P013,Books,C0924,21.82,2023-11-09
P054,Clothing,C0950,138.46,2023-06-23
P075,Clothing,C0473,246.16,2023-01-26
P055,Toys,C0504,111.61,2023-01-17
P056,Books,C0341,60.21,2023-01-23
P081,Electronics,C0648,194.69,2023-07-14
P075,Books,C0341,364.59,2023-02-09
P091,Electronics,C0650,271.33,2023-11-12
P041,Clothing,C0661,399.94,2023-12-28
P078,Electronics,C0820,25.63,2023-06-25
P059,Clothing,C0133,134.28,2023-08-03
P018,Clothing,C0453,326.15,2023-01-21
P040,Home,C0192,224.94,2023-06-21
P087,Electronics,C0085,253.71,2023-12-21
P056,Electronics,C0386,347.47,2023-07-03
P078,Electronics,C0153,283.52,2023-07-10
P082,Toys,C0537,375.15,2023-09-04
P044,Toys,C0591,412.56,2023-09-05
P065,Clothing,C0284,84.46,2023-01-24
P028,Books,C0140,233.92,2023-01-30
P080,Home,C0642,133.48,2023-02-27
P086,Toys,C0431,170.11,2023-07-10
P098,Toys,C0150,260.78,2023-04-19
P058,Books,C0875,14.29,2023-08-22
P011,Electronics,C0850,247.93,2023-11-04
P027,Clothing,C0400,347.09,2023-02-13
P085,Books,C0087,449.01,2023-11-04
P058,Clothing,C0727,389.58,2023-02-07
P055,Toys,C0767,324.48,2023-11-26
P076,Electronics,C0521,25.24,2023-04-02
P029,Books,C0225,16.83,2023-03-03
P025,Books,C0199,424.24,2023-01-20
P060,Books,C0498,361.54,2023-07-04
P088,Home,C0347,301.01,2023-01-10
P086,Electronics,C0183,445.3,2023-01-03
P023,Books,C0193,190.99,2023-02-01
P043,Clothing,C0980,190.71,2023-01-04
P042,Books,C0057,335.83,2023-04-26
P032,Home,C0122,144.69,2023-03-07
P093,Home,C0612,71.81,2023-06-20
P047,Books,C0661,480.48,2023-05-12
P046,Clothing,C0423,308.1,2023-07-04
P070,Toys,C0616,492.91,2023-07-23
P096,Books,C0235,364.58,2023-02-05
P049,Toys,C0651,247.42,2023-12-19
P049,Electronics,C0568,209.73,2023-02-17
P086,Clothing,C0037,483.27,2023-02-05
P044,Electronics,C0399,138.13,2023-12-06
P088,Home,C0810,136.71,2023-08-07
P019,Clothing,C0975,472.39,2023-01-31
P010,Clothing,C0418,248.76,2023-10-16
P089,Toys,C0314,64.18,2023-10-03
P011,Home,C0852,481.47,2023-04-18
P082,Electronics,C0085,72.92,2023-03-29
P011,Toys,C0518,245.92,2023-11-10
P009,Electronics,C0636,431.36,2023-10-21
P031,Toys,C0033,428.23,2023-10-23
P028,Home,C0721,420.21,2023-02-02
P013,Clothing,C0625,490.95,2023-03-22
P012,Books,C0110,77.9,2023-11-30
P025,Electronics,C0824,22.71,2023-12-20
P080,Toys,C0946,20.8,2023-06-30
P034,Toys,C0166,460.43,2023-01-12
P005,Home,C0929,139.33,2023-09-29
P017,Toys,C0808,223.35,2023-12-28
P046,Clothing,C0596,173.33,2023-12-18
P059,Electronics,C0844,35.23,2023-01-20
P021,Electronics,C0291,136.95,2023-12-10
P026,Clothing,C0408,302.83,2023-08-09
P091,Clothing,C0539,335.21,2023-08-23
P089,Toys,C0297,300.19,2023-11-01
P083,Home,C0674,75.91,2023-02-18
P022,Toys,C0848,96.9,2023-08-13
P067,Home,C0954,211.28,2023-09-03
P088,Home,C0040,117.26,2023-08-10
P087,Toys,C0294,140.99,2023-10-01
P094,Electronics,C0519,297.75,2023-02-19
P054,Home,C0983,431.48,2023-07-31
P067,Home,C0668,260.09,2023-10-11
P053,Clothing,C0666,388.21,2023-01-17
P058,Electronics,C0342,411.07,2023-04-03
P080,Toys,C0879,301.15,2023-07-12
P001,Home,C0775,485.85,2023-12-16
P018,Clothing,C0310,483.31,2023-06-01
P058,Electronics,C0625,214.62,2023-07-26
P084,Home,C0680,472.8,2023-05-05
P092,Clothing,C0062,120.42,2023-04-10
P024,Electronics,C0419,279.89,2023-09-07
P002,Electronics,C0945,310.91,2023-02-05
P095,Home,C0421,441.6,2023-04-29
P049,Books,C0840,391.51,2023-05-29
P037,Toys,C0411,314.86,2023-12-23
P048,Clothing,C0680,59.78,2023-06-19
P044,Books,C0238,369.99,2023-04-22
P047,Clothing,C0341,407.94,2023-01-16
P064,Home,C0708,312.21,2023-09-21
P023,Home,C0291,392.58,2023-08-18
P082,Electronics,C0116,54.45,2023-06-13
P032,Home,C0648,228.2,2023-11-22
P071,Electronics,C0442,275.03,2023-11-22
P013,Home,C0330,437.8,2023-05-28
P098,Electronics,C0152,168.09,2023-12-02
P018,Books,C0224,64.9,2023-05-30
P001,Electronics,C0699,476.59,2023-10-13
P043,Toys,C0575,187.17,2023-09-20
P083,Electronics,C0531,251.4,2023-06-22
P005,Clothing,C0481,443.11,2023-09-28
P048,Books,C0885,117.78,2023-05-15
P056,Electronics,C0511,85.12,2023-03-25
P086,Clothing,C0995,105.98,2023-06-16
P099,Home,C0097,113.8,2023-09-22
P060,Toys,C0058,332.84,2023-08-12
P075,Home,C0438,367.48,2023-05-16
P089,Toys,C0954,78.56,2023-11-02
P034,Clothing,C0583,231.28,2023-12-27
P069,Toys,C0908,389.3,2023-06-28
P017,Home,C0654,417.93,2023-08-25
P053,Home,C0464,332.3,2023-08-17
P048,Home,C0405,249.93,2023-04-22
P051,Electronics,C0545,38.66,2023-04-11
P023,Toys,C0407,286.76,2023-11-27
P074,Toys,C0255,49.12,2023-12-22
P043,Home,C0916,333.26,2023-10-01
P056,Clothing,C0281,212.24,2023-04-23
P047,Electronics,C0921,160.72,2023-07-29
P098,Books,C0407,98.98,2023-04-05
P057,Electronics,C0637,426.78,2023-07-20
P069,Toys,C0508,51.77,2023-04-20
P080,Toys,C0308,26.93,2023-01-28
P013,Electronics,C0840,27.67,2023-11-08
P060,Clothing,C0506,346.72,2023-03-29
P073,Home,C0139,498.81,2023-04-04
P058,Clothing,C0447,384.87,2023-02-01
P084,Electronics,C0934,13.15,2023-04-27
P014,Clothing,C0915,279.08,2023-09-11
P006,Electronics,C0088,451.24,2023-02-28
P084,Home,C0786,206.68,2023-09-02
P053,Books,C0102,140.94,2023-08-31
P077,Clothing,C0321,280.08,2023-11-24
P007,Home,C0995,174.18,2023-09-12
P054,Books,C0563,47.72,2023-06-06
P078,Books,C0547,483.64,2023-04-17
P050,Books,C0980,55.86,2023-05-20
P067,Books,C0435,390.97,2023-03-19
P082,Home,C0283,154.71,2023-07-06
P023,Home,C0992,41.85,2023-08-07
P064,Home,C0900,396.74,2023-12-14
P086,Electronics,C0829,13.12,2023-03-16
P003,Toys,C0226,136.38,2023-03-18
P090,Toys,C0314,350.79,2023-06-09
P056,Home,C0063,168.3,2023-05-20
P075,Toys,C0889,270.6,2023-05-02
P026,Home,C0732,241.56,2023-01-03
P007,Home,C0678,136.38,2023-09-22
P067,Clothing,C0296,157.11,2023-10-01
P026,Toys,C0147,487.02,2023-02-15
P006,Books,C0522,444.61,2023-10-15
P036,Toys,C0976,162.46,2023-12-08
P058,Books,C0152,475.28,2023-03-10
P033,Toys,C0248,446.57,2023-02-09
P025,Home,C0292,245.19,2023-10-31
P047,Clothing,C0536,62.49,2023-04-10
P087,Books,C0853,412.68,2023-04-13
P018,Home,C0809,382.14,2023-02-27
P081,Books,C0312,410.93,2023-07-14
P094,Clothing,C0475,479.87,2023-09-01
P049,Electronics,C0710,379.71,2023-12-06
P052,Electronics,C0395,152.15,2023-02-14
P065,Toys,C0311,420.3,2023-08-14
P029,Clothing,C0515,330.57,2023-04-15
P033,Books,C0871,140.64,2023-12-24
P017,Books,C0747,61.69,2023-06-29
P082,Clothing,C0585,168.43,2023-12-28
P012,Toys,C0825,82.67,2023-07-14
P040,Toys,C0667,248.44,2023-11-03
P049,Toys,C0275,388.59,2023-10-10
P066,Clothing,C0690,459.98,2023-05-19
P097,Books,C0467,489.03,2023-05-05
P083,Home,C0193,101.53,2023-06-13
P067,Books,C0053,438.01,2023-09-29
P087,Clothing,C0648,328.08,2023-03-15
P031,Electronics,C0843,489.58,2023-09-07
P015,Books,C0985,421.7,2023-02-10
P076,Books,C0785,54.0,2023-12-07
P052,Home,C0884,26.64,2023-03-17
P096,Electronics,C0135,323.48,2023-01-23
P015,Clothing,C0285,405.36,2023-01-16
P072,Toys,C0189,214.71,2023-11-27
P097,Toys,C0929,288.32,2023-09-14
P037,Books,C0614,91.89,2023-01-13
P049,Clothing,C0041,161.61,2023-01-09
P094,Toys,C0249,278.66,2023-10-01
P024,Home,C0164,104.98,2023-07-22
P002,Electronics,C0086,471.07,2023-04-18
P054,Home,C0138,288.73,2023-09-24
P004,Books,C0686,104.59,2023-01-27
P098,Clothing,C0670,466.4,2023-07-28
P045,Clothing,C0282,144.38,2023-05-12
P040,Home,C0681,98.69,2023-02-07
P064,Home,C0924,293.14,2023-04-06
P020,Home,C0549,325.01,2023-01-06
P006,Toys,C0757,120.37,2023-07-23
P083,Electronics,C0591,316.11,2023-05-04
P022,Home,C0680,379.33,2023-03-04
P082,Home,C0663,224.49,2023-03-08
P032,Clothing,C0339,467.14,2023-12-14
P031,Home,C0519,359.65,2023-10-23
P068,Electronics,C0891,355.89,2023-04-18
P042,Books,C0917,145.45,2023-09-11
P050,Electronics,C0935,215.77,2023-01-21
P017,Books,C0110,112.31,2023-05-26
P069,Clothing,C0927,296.24,2023-02-13
P026,Electronics,C0618,462.58,2023-11-12
P063,Books,C0143,222.49,2023-03-13
P092,Home,C0474,156.24,2023-01-08
P018,Electronics,C0677,472.37,2023-12-15
P022,Home,C0250,61.91,2023-09-06
P044,Home,C0176,316.36,2023-10-18
P062,Toys,C0038,156.41,2023-06-20
P008,Books,C0066,138.72,2023-07-01
P067,Books,C0211,210.51,2023-05-16
P098,Electronics,C0085,304.97,2023-09-21
P058,Clothing,C0957,424.31,2023-06-05
P039,Home,C0246,366.09,2023-11-22
P099,Clothing,C0150,158.38,2023-05-03
P018,Home,C0220,305.38,2023-01-14
P028,Electronics,C0767,423.26,2023-11-04
P070,Clothing,C0073,407.93,2023-07-11
P018,Toys,C0717,449.3,2023-04-28
P088,Home,C0130,110.61,2023-01-11
P077,Books,C0508,54.95,2023-10-22
P093,Home,C0964,278.83,2023-07-03
P084,Home,C0842,262.26,2023-10-22
P069,Home,C0366,23.51,2023-01-07
P029,Clothing,C0498,238.96,2023-05-31
P043,Books,C0617,286.78,2023-05-25
P035,Home,C0380,494.4,2023-08-12
P055,Home,C0889,188.56,2023-02-05
P076,Electronics,C0698,429.56,2023-09-17
P076,Toys,C0541,67.42,2023-10-28
P066,Clothing,C0548,41.87,2023-04-09
P095,Home,C0710,337.61,2023-06-29
P004,Clothing,C0440,199.89,2023-08-10
P016,Clothing,C0733,386.07,2023-10-14
P027,Books,C0024,16.27,2023-11-09
P025,Electronics,C0266,279.6,2023-01-18
P005,Books,C0237,111.05,2023-11-07
P009,Electronics,C0923,299.36,2023-08-09
P054,Home,C0910,93.34,2023-01-12
P025,Home,C0368,33.07,2023-01-20
P100,Electronics,C0090,456.66,2023-04-27
P065,Books,C0929,310.54,2023-11-20
P094,Clothing,C0222,171.33,2023-04-11
P079,Books,C0676,202.97,2023-12-01
P051,Clothing,C0098,439.54,2023-04-18
P100,Books,C0188,416.7,2023-07-11
P097,Books,C0226,327.46,2023-02-12
P096,Electronics,C0551,352.87,2023-12-18
P076,Books,C0666,343.57,2023-03-25
P005,Home,C0754,250.47,2023-08-11
P043,Books,C0827,220.98,2023-12-03
P011,Toys,C0430,114.68,2023-07-06
P042,Electronics,C0707,131.89,2023-05-09
P017,Electronics,C0050,193.16,2023-02-22
P034,Electronics,C0404,455.84,2023-07-07
P093,Books,C0152,410.97,2023-07-26
P038,Books,C0248,432.87,2023-08-13
P016,Books,C0459,58.77,2023-02-07
P024,Clothing,C0215,280.65,2023-11-03
P075,Clothing,C0111,330.56,2023-08-22
P044,Home,C0442,67.41,2023-05-28
P059,Books,C0373,126.47,2023-04-13
P025,Electronics,C0471,213.81,2023-03-24
P091,Toys,C0697,397.02,2023-11-18
P098,Toys,C0748,166.45,2023-01-07
P078,Toys,C0422,149.83,2023-09-10
P016,Books,C0160,304.68,2023-08-14
P012,Toys,C0522,213.02,2023-04-28
P062,Home,C0002,101.56,2023-05-18
P049,Books,C0596,66.57,2023-12-09
P056,Electronics,C0838,80.44,2023-05-22
P011,Clothing,C0959,312.23,2023-01-28
P056,Clothing,C0236,196.95,2023-05-31
P034,Home,C0689,310.52,2023-02-14
P032,Electronics,C0580,430.23,2023-05-08
P081,Books,C0577,191.12,2023-07-24
P078,Electronics,C0695,225.8,2023-10-09
P047,Home,C0297,227.42,2023-02-12
P007,Books,C0300,98.99,2023-05-11
P027,Clothing,C0878,44.87,2023-11-27
P048,Electronics,C0014,132.01,2023-11-18
P045,Home,C0998,167.83,2023-04-03
P068,Books,C0833,421.12,2023-11-08
P054,Electronics,C0875,285.96,2023-04-02
P065,Toys,C0859,334.46,2023-08-20
P040,Books,C0956,368.72,2023-03-27
P042,Home,C0700,247.92,2023-05-07
P045,Books,C0002,241.82,2023-01-10
P063,Electronics,C0411,60.22,2023-05-29
P084,Toys,C0302,96.06,2023-09-08
P022,Toys,C0280,480.09,2023-10-17
P098,Electronics,C0016,63.84,2023-12-30
P067,Books,C0660,247.42,2023-02-16
P012,Clothing,C0206,155.35,2023-05-12
P088,Clothing,C0243,38.8,2023-10-15
P090,Clothing,C0374,428.35,2023-08-17
P011,Clothing,C0731,404.56,2023-08-05
P050,Books,C0143,69.49,2023-12-11
P059,Books,C0750,134.97,2023-07-05
P058,Books,C0418,131.12,2023-07-19
P013,Clothing,C0125,136.52,2023-03-31
P058,Electronics,C0506,23.62,2023-10-27
P062,Clothing,C0967,267.58,2023-11-03
P027,Toys,C0137,390.41,2023-07-28
P022,Home,C0136,42.68,2023-03-12
P004,Books,C0662,132.21,2023-08-13
P046,Electronics,C0739,100.24,2023-02-04
P069,Electronics,C0754,286.46,2023-08-14
P016,Books,C0838,336.15,2023-03-12
P061,Toys,C0822,383.04,2023-07-25
P079,Toys,C0444,202.4,2023-06-24
P085,Home,C0268,190.11,2023-09-28
P035,Toys,C0427,326.59,2023-07-13
P034,Toys,C0888,220.42,2023-05-09
P083,Toys,C0638,284.48,2023-01-21
