transaction_id,transaction_date,country,customer_id,amount,currency,channel,status
79,2024-03-21,PT,199,3592.01,USD,MOBILE,PENDING
80,2024-02-01,ES,671,3438.42,EUR,MOBILE,POSTED
81,2024-01-23,BE,475,252.04,EUR,ATM,PENDING
82,2024-01-18,NL,683,2656.13,GBP,BRANCH,PENDING
83,2024-03-19,BE,436,4153.02,GBP,MOBILE,POSTED
84,2024-03-01,NL,265,3759.13,GBP,BRANCH,REVERSED
85,2024-03-03,IT,281,2199.92,GBP,BRANCH,POSTED
86,2024-02-04,UK,327,4465.24,EUR,ONLINE,POSTED
87,2024-01-30,MA,710,764.87,EUR,ATM,PENDING
88,2024-02-22,UK,555,2330.16,EUR,ONLINE,PENDING
89,2024-02-19,PT,968,3477.92,GBP,MOBILE,PENDING
90,2024-01-01,UK,305,3767.62,USD,ONLINE,PENDING
91,2024-01-29,US,446,2428.72,USD,BRANCH,REVERSED
92,2024-03-27,MA,741,826.06,USD,ONLINE,REVERSED
93,2024-03-09,FR,928,1970.71,GBP,ATM,POSTED
94,2024-03-23,MA,138,4334.39,EUR,ATM,PENDING
95,2024-02-18,UK,216,2274.04,USD,MOBILE,PENDING
96,2024-02-23,US,854,410.45,EUR,ATM,PENDING
97,2024-01-29,DE,799,4786.47,EUR,ATM,POSTED
98,2024-01-26,FR,636,762.76,EUR,MOBILE,REVERSED
99,2024-01-15,PT,970,1090.6,GBP,BRANCH,PENDING
100,2024-01-22,PT,621,4818.71,GBP,ATM,POSTED
101,2024-02-09,DE,592,129.37,USD,MOBILE,PENDING
102,2024-01-26,DE,606,3453.38,GBP,ONLINE,POSTED
103,2024-03-30,US,870,3421.61,EUR,ATM,PENDING
104,2024-03-09,MA,677,1853.48,GBP,BRANCH,POSTED
105,2024-02-23,NL,108,2168.18,USD,MOBILE,REVERSED
106,2024-01-20,MA,180,3669.24,GBP,BRANCH,REVERSED
107,2024-03-09,NL,476,2178.44,GBP,BRANCH,PENDING
108,2024-02-01,DE,285,4408.27,EUR,MOBILE,REVERSED
109,2024-03-19,MA,344,144.47,USD,ONLINE,PENDING
110,2024-01-28,UK,816,1292.5,USD,BRANCH,REVERSED
111,2024-01-02,BE,970,956.09,EUR,MOBILE,PENDING
112,2024-03-12,IT,707,2380.99,GBP,MOBILE,PENDING
113,2024-01-03,DE,301,1108.76,GBP,ONLINE,PENDING
114,2024-03-25,PT,377,2366.83,GBP,BRANCH,PENDING
115,2024-03-11,UK,360,3514.57,USD,BRANCH,PENDING
116,2024-01-30,DE,738,963.73,EUR,ONLINE,POSTED
117,2024-01-28,NL,283,3623.2,GBP,BRANCH,POSTED
118,2024-01-25,US,232,1805.04,USD,ATM,REVERSED
119,2024-03-09,ES,280,228.53,EUR,BRANCH,REVERSED
120,2024-01-17,NL,105,4363.73,GBP,BRANCH,PENDING
121,2024-03-02,NL,348,922.63,EUR,BRANCH,PENDING
122,2024-01-15,DE,410,2459.24,GBP,ATM,POSTED
123,2024-01-20,PT,971,1519.87,EUR,ATM,REVERSED
124,2024-02-23,PT,610,3953.91,EUR,MOBILE,PENDING
125,2024-02-26,US,880,2943.04,USD,BRANCH,REVERSED
126,2024-03-20,FR,624,4800.58,EUR,ONLINE,REVERSED
127,2024-01-28,US,676,406.86,EUR,ONLINE,REVERSED
128,2024-01-10,ES,2,2043.18,GBP,MOBILE,PENDING
129,2024-01-05,IT,295,3535.07,GBP,MOBILE,POSTED
130,2024-03-28,IT,946,1323.51,GBP,ONLINE,PENDING
131,2024-01-15,BE,230,3238.53,USD,ONLINE,POSTED
132,2024-01-08,ES,811,1538.75,GBP,BRANCH,PENDING
133,2024-01-16,NL,705,1521.15,USD,BRANCH,REVERSED
134,2024-03-10,NL,448,403.13,EUR,MOBILE,REVERSED
135,2024-02-11,PT,256,130.3,EUR,ATM,REVERSED
136,2024-02-04,PT,41,3815.78,EUR,MOBILE,REVERSED
137,2024-03-24,NL,938,1391.5,GBP,MOBILE,REVERSED
138,2024-03-03,DE,481,1740.46,USD,BRANCH,REVERSED
139,2024-01-14,ES,337,2058.81,USD,BRANCH,REVERSED
140,2024-02-21,BE,37,2274.67,USD,BRANCH,PENDING
141,2024-01-15,MA,885,2573.47,EUR,MOBILE,PENDING
142,2024-01-07,IT,530,1809.54,USD,MOBILE,POSTED
143,2024-01-27,US,562,655.94,USD,MOBILE,REVERSED
144,2024-03-03,DE,29,4865.76,GBP,ONLINE,REVERSED
145,2024-01-21,US,564,69.36,USD,ATM,POSTED
146,2024-01-15,NL,969,588.21,EUR,MOBILE,REVERSED
147,2024-02-07,BE,722,1367.85,USD,MOBILE,POSTED
148,2024-02-28,BE,148,1918.55,GBP,ONLINE,POSTED
149,2024-02-05,MA,348,4671.31,GBP,BRANCH,POSTED
150,2024-02-06,US,857,2935.1,GBP,MOBILE,POSTED
151,2024-02-27,BE,495,1726.27,GBP,MOBILE,PENDING
152,2024-02-11,IT,714,1194.79,USD,ONLINE,PENDING
153,2024-01-06,UK,762,2365.41,USD,MOBILE,REVERSED
154,2024-03-24,ES,507,4824.16,EUR,BRANCH,POSTED
155,2024-02-26,DE,538,4552.3,EUR,ONLINE,PENDING
156,2024-03-24,ES,76,2347.98,USD,BRANCH,REVERSED
157,2024-03-29,MA,665,402.5,USD,MOBILE,PENDING
158,2024-03-21,NL,893,2705.54,GBP,ATM,POSTED
159,2024-03-21,US,232,3734.09,USD,ATM,REVERSED
160,2024-01-13,NL,170,3470.31,EUR,ATM,PENDING
161,2024-01-08,US,367,1874.83,EUR,ONLINE,REVERSED
162,2024-02-22,PT,698,3962.8,EUR,ONLINE,POSTED
163,2024-03-19,MA,634,3415.99,USD,ONLINE,POSTED
164,2024-02-29,US,470,1277.38,EUR,MOBILE,PENDING
165,2024-03-27,BE,161,370.24,USD,BRANCH,REVERSED
166,2024-02-24,US,467,4226.67,EUR,MOBILE,PENDING
167,2024-01-14,IT,390,2860.04,GBP,BRANCH,REVERSED
168,2024-02-07,FR,849,3291.49,USD,ATM,REVERSED
169,2024-03-28,FR,932,3032.43,USD,BRANCH,POSTED
170,2024-03-18,UK,224,3183.45,GBP,BRANCH,REVERSED
171,2024-03-25,ES,643,486.72,GBP,ATM,PENDING
172,2024-02-26,FR,593,1824.94,EUR,ATM,PENDING
173,2024-02-11,MA,179,1004.77,GBP,BRANCH,REVERSED
174,2024-03-05,US,850,823.56,USD,BRANCH,REVERSED
175,2024-02-13,DE,479,4814.5,EUR,ONLINE,REVERSED
176,2024-03-27,MA,990,4228.88,GBP,BRANCH,POSTED
177,2024-02-20,FR,270,2683.32,USD,BRANCH,REVERSED
178,2024-03-27,US,598,1905.75,GBP,BRANCH,POSTED
179,2024-03-27,IT,482,126.1,GBP,BRANCH,REVERSED
180,2024-01-29,DE,650,4119.45,GBP,BRANCH,REVERSED
181,2024-02-22,DE,143,227.69,EUR,BRANCH,PENDING
182,2024-01-15,DE,240,4436.41,EUR,MOBILE,PENDING
183,2024-02-17,BE,429,2937.11,GBP,ONLINE,PENDING
184,2024-03-24,DE,853,2447.25,USD,BRANCH,POSTED
185,2024-03-29,UK,222,2217.47,EUR,BRANCH,POSTED
186,2024-03-28,UK,557,4508.58,GBP,BRANCH,POSTED
187,2024-02-20,US,194,4841.07,USD,ATM,REVERSED
188,2024-01-28,PT,994,107.77,USD,ONLINE,POSTED
189,2024-03-13,IT,70,4149.26,GBP,ONLINE,REVERSED
190,2024-01-28,IT,336,3872.07,GBP,ATM,PENDING
191,2024-01-19,ES,553,1254.02,EUR,ATM,REVERSED
192,2024-01-04,ES,15,1791.85,EUR,BRANCH,POSTED
193,2024-01-23,US,53,634.67,USD,ATM,REVERSED
194,2024-01-09,NL,459,3890.31,GBP,ATM,PENDING
195,2024-03-05,IT,968,3075.92,GBP,BRANCH,PENDING
196,2024-03-23,FR,62,4992.94,USD,MOBILE,REVERSED
197,2024-01-14,NL,729,4548.59,EUR,ATM,PENDING
198,2024-03-18,ES,67,631.83,GBP,BRANCH,PENDING
199,2024-03-17,BE,301,2269.12,GBP,MOBILE,POSTED
200,2024-03-30,DE,873,3273.91,GBP,ONLINE,PENDING
201,2024-02-27,IT,423,1695.32,USD,MOBILE,PENDING
202,2024-01-13,UK,437,1563.31,USD,BRANCH,POSTED
203,2024-03-28,NL,68,457.03,EUR,ATM,PENDING
204,2024-01-13,UK,831,651.45,EUR,BRANCH,REVERSED
205,2024-01-16,MA,362,4368.16,USD,ATM,PENDING
206,2024-03-17,US,360,518.9,GBP,ONLINE,POSTED
207,2024-03-25,NL,229,4236.53,USD,BRANCH,POSTED
208,2024-02-05,PT,231,4036.3,GBP,ATM,REVERSED
209,2024-03-25,US,29,902.9,GBP,BRANCH,PENDING
210,2024-02-14,FR,185,4349.44,GBP,MOBILE,POSTED
211,2024-01-19,FR,93,3730.81,EUR,MOBILE,PENDING
212,2024-02-28,UK,161,1850.9,GBP,BRANCH,REVERSED
213,2024-03-17,DE,904,263.99,EUR,ATM,REVERSED
214,2024-01-11,US,453,3310.03,USD,MOBILE,PENDING
215,2024-02-04,IT,773,2562.22,USD,MOBILE,POSTED
216,2024-02-06,PT,498,2635.14,USD,ATM,POSTED
217,2024-02-20,PT,56,39.43,USD,ONLINE,POSTED
218,2024-02-02,US,335,600.8,USD,MOBILE,POSTED
219,2024-01-17,MA,545,3518.65,GBP,BRANCH,POSTED
220,2024-02-20,FR,446,94.69,EUR,BRANCH,REVERSED
221,2024-02-24,PT,414,3547.79,USD,BRANCH,POSTED
222,2024-02-21,FR,989,1624.52,GBP,MOBILE,REVERSED
223,2024-02-16,DE,447,4222.58,EUR,MOBILE,REVERSED
224,2024-02-21,BE,80,1979.44,USD,BRANCH,POSTED
225,2024-02-12,ES,78,2552.91,EUR,ONLINE,PENDING
226,2024-02-14,ES,241,514.92,USD,ONLINE,POSTED
227,2024-03-18,ES,778,3796.0,EUR,ONLINE,REVERSED
228,2024-03-04,NL,772,2819.11,GBP,MOBILE,REVERSED
229,2024-03-13,PT,330,4321.37,GBP,BRANCH,POSTED
230,2024-02-26,DE,480,2211.6,USD,BRANCH,REVERSED
231,2024-01-08,UK,519,371.88,USD,MOBILE,POSTED
232,2024-01-08,UK,851,1436.1,GBP,ATM,REVERSED
233,2024-03-17,BE,393,2314.1,GBP,ATM,PENDING
234,2024-03-14,IT,329,3025.42,GBP,ONLINE,POSTED
235,2024-02-27,DE,830,4495.74,USD,ATM,REVERSED
236,2024-03-23,ES,40,1239.47,USD,MOBILE,REVERSED
237,2024-03-07,PT,162,1820.13,USD,MOBILE,PENDING
238,2024-02-13,PT,53,3946.35,GBP,BRANCH,POSTED
239,2024-02-12,DE,571,3392.22,USD,BRANCH,REVERSED
240,2024-03-25,PT,894,752.72,EUR,ONLINE,PENDING
241,2024-02-09,MA,132,2975.61,EUR,BRANCH,REVERSED
242,2024-02-18,UK,832,639.84,GBP,ATM,REVERSED
243,2024-03-26,MA,520,1809.78,USD,BRANCH,POSTED
244,2024-01-28,UK,970,3831.01,EUR,ONLINE,POSTED
245,2024-01-20,DE,302,4222.3,EUR,ATM,REVERSED
246,2024-02-13,PT,134,2986.63,EUR,ONLINE,POSTED
247,2024-03-29,PT,828,4513.38,GBP,MOBILE,POSTED
248,2024-02-22,UK,692,3598.21,USD,BRANCH,REVERSED
249,2024-02-27,IT,546,1196.6,USD,ONLINE,PENDING
250,2024-03-27,PT,451,2308.94,USD,MOBILE,REVERSED
251,2024-03-08,MA,989,811.13,EUR,ONLINE,PENDING
252,2024-01-07,NL,895,1856.69,EUR,ATM,PENDING
253,2024-01-11,ES,279,2247.15,GBP,ONLINE,PENDING
254,2024-01-12,IT,836,2256.19,USD,ATM,PENDING
255,2024-01-07,MA,514,1870.43,USD,ATM,PENDING
256,2024-01-29,FR,326,4654.2,GBP,BRANCH,POSTED
257,2024-01-18,FR,293,4587.06,USD,ONLINE,REVERSED
258,2024-03-01,NL,630,27.25,EUR,ATM,PENDING
259,2024-01-28,ES,561,4701.19,GBP,MOBILE,POSTED
260,2024-02-06,IT,308,610.12,EUR,MOBILE,REVERSED
261,2024-03-20,NL,64,555.18,USD,ATM,REVERSED
262,2024-03-06,PT,247,3593.0,USD,MOBILE,POSTED
263,2024-03-19,UK,246,2853.75,EUR,ATM,REVERSED
264,2024-02-16,DE,976,2630.77,GBP,ATM,PENDING
265,2024-03-01,FR,650,1935.02,USD,BRANCH,REVERSED
266,2024-01-03,UK,807,338.73,EUR,ATM,REVERSED
267,2024-02-12,ES,45,1762.14,USD,ONLINE,REVERSED
268,2024-02-29,NL,646,912.21,EUR,ATM,REVERSED
269,2024-02-28,FR,300,1008.75,EUR,ATM,PENDING
270,2024-02-09,BE,407,4945.62,GBP,MOBILE,PENDING
271,2024-01-05,IT,292,1785.51,EUR,BRANCH,PENDING
272,2024-01-16,UK,447,4447.54,GBP,MOBILE,PENDING
273,2024-02-13,ES,508,3460.65,USD,BRANCH,POSTED
274,2024-02-24,DE,440,3012.66,EUR,BRANCH,PENDING
275,2024-01-14,DE,335,3304.94,USD,MOBILE,REVERSED
276,2024-02-24,ES,706,2220.1,USD,ATM,REVERSED
277,2024-02-15,PT,445,1373.5,EUR,ATM,REVERSED
278,2024-03-22,MA,372,2565.92,GBP,ONLINE,POSTED
279,2024-01-19,PT,694,3906.78,EUR,ONLINE,POSTED
280,2024-01-31,UK,370,1914.89,GBP,ATM,REVERSED
281,2024-01-20,NL,971,1855.45,USD,ATM,REVERSED
282,2024-01-18,BE,375,1990.77,GBP,BRANCH,POSTED
283,2024-01-15,FR,753,931.05,GBP,MOBILE,REVERSED
284,2024-01-16,US,793,1302.19,USD,ONLINE,REVERSED
285,2024-02-06,NL,204,614.06,EUR,MOBILE,POSTED
286,2024-02-26,DE,829,3409.96,USD,BRANCH,REVERSED
287,2024-01-09,BE,555,1452.52,USD,ONLINE,REVERSED
288,2024-03-30,ES,812,1808.1,EUR,ATM,POSTED
289,2024-01-18,IT,809,2470.62,USD,BRANCH,PENDING
290,2024-03-11,ES,626,4421.35,EUR,BRANCH,PENDING
291,2024-03-02,BE,420,3846.05,GBP,ATM,POSTED
292,2024-02-10,DE,460,2329.7,GBP,BRANCH,POSTED
293,2024-03-11,PT,186,3839.14,EUR,MOBILE,REVERSED
294,2024-01-08,DE,530,765.92,EUR,ONLINE,PENDING
295,2024-01-29,UK,970,4704.58,USD,ATM,PENDING
296,2024-01-26,BE,281,626.73,USD,ATM,REVERSED
297,2024-03-23,ES,606,4708.09,EUR,ONLINE,REVERSED
298,2024-03-20,PT,345,4212.81,GBP,ATM,POSTED
299,2024-01-11,FR,971,3207.63,GBP,BRANCH,REVERSED
300,2024-01-27,PT,426,3090.92,EUR,MOBILE,REVERSED
301,2024-03-10,US,657,4783.29,USD,ONLINE,REVERSED
302,2024-02-21,US,464,365.79,EUR,ONLINE,PENDING
303,2024-02-23,NL,475,1020.91,GBP,ONLINE,PENDING
304,2024-02-10,UK,998,1994.18,USD,ATM,PENDING
305,2024-01-31,NL,125,1338.09,EUR,ONLINE,POSTED
306,2024-01-07,US,968,1921.37,GBP,MOBILE,POSTED
307,2024-01-21,UK,956,2888.86,USD,ONLINE,POSTED
308,2024-03-04,BE,478,2494.3,USD,MOBILE,POSTED
309,2024-01-12,MA,517,2286.7,EUR,ONLINE,REVERSED
310,2024-02-15,FR,51,1407.5,GBP,MOBILE,PENDING
311,2024-03-09,FR,867,538.38,EUR,BRANCH,REVERSED
312,2024-02-16,MA,374,227.17,EUR,ONLINE,PENDING
313,2024-03-11,US,75,1932.36,USD,BRANCH,REVERSED
314,2024-03-28,PT,121,644.19,EUR,MOBILE,PENDING
315,2024-02-13,BE,961,1828.67,EUR,ONLINE,REVERSED
316,2024-03-06,MA,512,202.23,EUR,ONLINE,REVERSED
317,2024-02-12,NL,531,2285.49,GBP,ONLINE,PENDING
318,2024-03-19,UK,166,1965.38,GBP,BRANCH,REVERSED
319,2024-02-13,BE,848,2549.06,USD,BRANCH,PENDING
320,2024-01-03,UK,339,3369.36,USD,BRANCH,REVERSED
321,2024-03-29,FR,611,2373.48,GBP,ONLINE,REVERSED
322,2024-01-07,PT,491,853.39,GBP,MOBILE,POSTED
323,2024-03-28,IT,32,2863.28,GBP,ATM,POSTED
324,2024-01-03,NL,321,2094.48,USD,ONLINE,PENDING
325,2024-03-05,PT,942,2358.56,GBP,ATM,REVERSED
326,2024-01-18,BE,212,2804.87,GBP,MOBILE,REVERSED
327,2024-02-18,UK,979,866.74,GBP,BRANCH,REVERSED
328,2024-02-15,US,624,2421.42,EUR,BRANCH,REVERSED
329,2024-02-08,IT,964,4864.58,USD,BRANCH,REVERSED
330,2024-01-27,NL,324,2399.54,GBP,BRANCH,PENDING
331,2024-01-16,PT,692,2716.41,USD,BRANCH,POSTED
332,2024-02-07,FR,294,4776.61,EUR,BRANCH,PENDING
333,2024-03-24,US,765,2395.92,EUR,BRANCH,REVERSED
334,2024-03-30,US,140,547.02,GBP,ONLINE,POSTED
335,2024-01-07,BE,231,3190.08,EUR,ATM,PENDING
336,2024-02-12,NL,102,3406.28,EUR,ATM,REVERSED
337,2024-01-21,MA,668,4675.23,USD,MOBILE,REVERSED
338,2024-01-26,US,328,1427.79,EUR,ATM,REVERSED
339,2024-03-14,IT,547,3693.69,EUR,ONLINE,PENDING
340,2024-01-23,FR,856,1985.58,USD,ONLINE,REVERSED
341,2024-02-07,FR,9,1492.66,GBP,ATM,PENDING
342,2024-02-06,NL,656,2716.96,USD,ONLINE,REVERSED
343,2024-02-29,US,197,4044.26,USD,ONLINE,REVERSED
344,2024-02-28,US,735,931.81,GBP,BRANCH,PENDING
345,2024-03-13,IT,179,3055.16,GBP,MOBILE,PENDING
346,2024-03-06,UK,88,2004.77,EUR,ONLINE,POSTED
347,2024-03-02,UK,958,1240.99,USD,MOBILE,POSTED
348,2024-02-27,US,976,1648.8,GBP,ATM,PENDING
349,2024-03-24,UK,709,1182.28,GBP,ATM,PENDING
350,2024-02-09,ES,415,3430.68,GBP,BRANCH,REVERSED
351,2024-01-16,US,376,3073.51,EUR,ONLINE,PENDING
352,2024-01-20,NL,765,4944.2,USD,MOBILE,REVERSED
353,2024-03-11,NL,775,2688.05,GBP,ONLINE,POSTED
354,2024-03-28,PT,894,3937.07,GBP,MOBILE,REVERSED
355,2024-02-16,DE,939,2821.28,EUR,ONLINE,REVERSED
356,2024-03-09,ES,168,1641.26,GBP,MOBILE,POSTED
357,2024-03-28,IT,734,2916.16,EUR,MOBILE,POSTED
358,2024-02-28,ES,525,2077.71,GBP,ATM,REVERSED
359,2024-02-29,US,740,109.83,USD,ATM,REVERSED
360,2024-01-28,PT,74,227.4,USD,ATM,REVERSED
361,2024-01-08,DE,956,2360.88,USD,MOBILE,POSTED
362,2024-01-18,MA,383,4964.29,USD,MOBILE,PENDING
363,2024-02-18,DE,699,4820.76,GBP,ONLINE,REVERSED
364,2024-02-14,DE,182,4964.24,USD,ONLINE,REVERSED
365,2024-01-29,FR,774,114.65,USD,MOBILE,REVERSED
366,2024-03-10,MA,544,1897.0,EUR,ONLINE,PENDING
367,2024-02-14,ES,282,943.21,GBP,ATM,POSTED
368,2024-03-25,MA,629,3830.5,EUR,ONLINE,POSTED
369,2024-01-09,DE,608,168.85,GBP,ATM,POSTED
370,2024-01-06,MA,449,1172.46,EUR,ATM,POSTED
371,2024-03-05,US,239,4079.12,GBP,BRANCH,REVERSED
372,2024-03-17,UK,242,1509.52,EUR,ONLINE,PENDING
373,2024-02-08,US,62,2784.03,GBP,ONLINE,REVERSED
374,2024-03-27,MA,569,2478.61,USD,MOBILE,REVERSED
375,2024-02-10,MA,418,746.94,USD,ONLINE,REVERSED
376,2024-03-01,IT,869,1127.5,GBP,ONLINE,PENDING
377,2024-01-08,BE,422,4838.96,GBP,ONLINE,PENDING
378,2024-02-01,US,208,1651.98,EUR,MOBILE,PENDING
379,2024-01-12,BE,741,4147.2,EUR,BRANCH,PENDING
380,2024-03-27,PT,617,198.7,EUR,ONLINE,REVERSED
381,2024-03-26,BE,222,2397.49,USD,BRANCH,POSTED
382,2024-01-28,IT,985,3707.63,GBP,MOBILE,POSTED
383,2024-03-30,PT,720,1023.36,EUR,BRANCH,PENDING
384,2024-02-18,NL,546,3243.96,USD,BRANCH,PENDING
385,2024-03-06,NL,477,493.94,GBP,MOBILE,PENDING
386,2024-01-27,UK,320,2070.24,GBP,ONLINE,REVERSED
387,2024-01-19,FR,267,2767.0,GBP,MOBILE,PENDING
388,2024-01-20,IT,337,1150.86,GBP,ONLINE,PENDING
389,2024-03-11,UK,263,3817.04,USD,MOBILE,PENDING
390,2024-01-22,UK,173,700.65,GBP,MOBILE,POSTED
391,2024-03-10,FR,536,170.08,EUR,ATM,POSTED
392,2024-02-22,ES,862,3153.88,EUR,ONLINE,POSTED
393,2024-01-28,BE,466,1866.63,GBP,MOBILE,REVERSED
394,2024-03-03,FR,6,2661.53,USD,ATM,POSTED
395,2024-03-08,US,548,4887.42,EUR,MOBILE,POSTED
396,2024-01-14,DE,536,745.34,EUR,BRANCH,PENDING
397,2024-02-04,MA,80,1865.88,USD,MOBILE,REVERSED
398,2024-02-01,IT,307,3420.52,EUR,ATM,POSTED
399,2024-02-21,MA,386,2763.95,EUR,ATM,REVERSED
400,2024-01-22,DE,511,4226.8,GBP,BRANCH,REVERSED
401,2024-01-13,BE,941,213.72,EUR,MOBILE,PENDING
402,2024-01-06,DE,700,4628.0,GBP,ATM,POSTED
403,2024-02-10,FR,984,1036.58,EUR,MOBILE,POSTED
404,2024-02-08,ES,577,1203.12,USD,BRANCH,PENDING
405,2024-01-18,DE,512,3727.54,USD,ATM,POSTED
406,2024-02-25,IT,858,381.02,GBP,MOBILE,PENDING
407,2024-01-04,US,802,4962.94,USD,ONLINE,PENDING
408,2024-03-11,MA,442,929.5,GBP,MOBILE,POSTED
409,2024-03-20,US,817,1233.0,EUR,ATM,PENDING
410,2024-01-20,MA,728,3919.67,EUR,MOBILE,PENDING
411,2024-02-16,DE,93,26.97,USD,MOBILE,PENDING
412,2024-02-04,DE,135,437.4,USD,MOBILE,REVERSED
413,2024-03-12,BE,417,517.36,EUR,BRANCH,REVERSED
414,2024-01-12,PT,612,3922.41,USD,ATM,PENDING
415,2024-02-22,MA,797,424.41,GBP,ONLINE,REVERSED
416,2024-03-07,ES,701,1904.28,EUR,BRANCH,PENDING
417,2024-02-04,NL,149,317.27,USD,BRANCH,PENDING
418,2024-02-08,NL,801,385.53,USD,ONLINE,REVERSED
