client_id,client_name,region
C00198,Client_198,South
C00199,Client_199,East
C00200,Client_200,West
C00201,Client_201,West
C00202,Client_202,North
C00203,Client_203,North
C00204,Client_204,South
C00205,Client_205,North
C00206,Client_206,South
C00207,Client_207,North
C00208,Client_208,East
C00209,Client_209,East
C00210,Client_210,West
C00211,Client_211,North
C00212,Client_212,West
C00213,Client_213,West
C00214,Client_214,West
C00215,Client_215,North
C00216,Client_216,East
C00217,Client_217,North
C00218,Client_218,South
C00219,Client_219,East
C00220,Client_220,West
C00221,Client_221,South
C00222,Client_222,South
C00223,Client_223,North
C00224,Client_224,East
C00225,Client_225,North
C00226,Client_226,South
C00227,Client_227,West
C00228,Client_228,North
C00229,Client_229,West
C00230,Client_230,West
C00231,Client_231,West
C00232,Client_232,South
C00233,Client_233,South
C00234,Client_234,West
C00235,Client_235,East
C00236,Client_236,West
C00237,Client_237,West
C00238,Client_238,North
C00239,Client_239,East
C00240,Client_240,South
C00241,Client_241,South
C00242,Client_242,East
C00243,Client_243,West
C00244,Client_244,South
C00245,Client_245,East
C00246,Client_246,West
C00247,Client_247,South
C00248,Client_248,South
C00249,Client_249,South
C00250,Client_250,East
C00251,Client_251,East
C00252,Client_252,West
C00253,Client_253,South
C00254,Client_254,North
C00255,Client_255,West
C00256,Client_256,South
C00257,Client_257,North
C00258,Client_258,East
C00259,Client_259,North
C00260,Client_260,West
C00261,Client_261,West
C00262,Client_262,North
C00263,Client_263,South
C00264,Client_264,East
C00265,Client_265,South
C00266,Client_266,West
C00267,Client_267,West
C00268,Client_268,South
C00269,Client_269,West
C00270,Client_270,East
C00271,Client_271,South
C00272,Client_272,East
C00273,Client_273,West
C00274,Client_274,West
C00275,Client_275,East
C00276,Client_276,West
C00277,Client_277,South
C00278,Client_278,North
C00279,Client_279,South
C00280,Client_280,South
C00281,Client_281,North
C00282,Client_282,South
C00283,Client_283,South
C00284,Client_284,North
C00285,Client_285,South
C00286,Client_286,North
C00287,Client_287,South
C00288,Client_288,East
C00289,Client_289,West
C00290,Client_290,East
C00291,Client_291,East
C00292,Client_292,South
C00293,Client_293,East
C00294,Client_294,North
C00295,Client_295,West
C00296,Client_296,West
C00297,Client_297,West
C00298,Client_298,West
C00299,Client_299,East
C00300,Client_300,East
C00301,Client_301,East
C00302,Client_302,North
C00303,Client_303,East
C00304,Client_304,West
C00305,Client_305,North
C00306,Client_306,South
C00307,Client_307,North
C00308,Client_308,North
C00309,Client_309,South
C00310,Client_310,West
C00311,Client_311,West
C00312,Client_312,West
C00313,Client_313,West
C00314,Client_314,South
C00315,Client_315,West
C00316,Client_316,East
C00317,Client_317,East
C00318,Client_318,East
C00319,Client_319,East
C00320,Client_320,South
C00321,Client_321,East
C00322,Client_322,East
C00323,Client_323,North
C00324,Client_324,East
C00325,Client_325,West
C00326,Client_326,South
C00327,Client_327,East
C00328,Client_328,East
C00329,Client_329,North
C00330,Client_330,East
C00331,Client_331,East
C00332,Client_332,South
C00333,Client_333,East
C00334,Client_334,West
C00335,Client_335,West
C00336,Client_336,East
C00337,Client_337,North
C00338,Client_338,North
C00339,Client_339,South
C00340,Client_340,North
C00341,Client_341,South
C00342,Client_342,West
C00343,Client_343,South
C00344,Client_344,South
C00345,Client_345,West
C00346,Client_346,East
C00347,Client_347,East
C00348,Client_348,East
C00349,Client_349,South
C00350,Client_350,North
C00351,Client_351,East
C00352,Client_352,East
C00353,Client_353,North
C00354,Client_354,South
C00355,Client_355,East
C00356,Client_356,West
C00357,Client_357,South
C00358,Client_358,East
C00359,Client_359,South
C00360,Client_360,North
C00361,Client_361,East
C00362,Client_362,East
C00363,Client_363,North
C00364,Client_364,West
C00365,Client_365,South
C00366,Client_366,East
C00367,Client_367,South
C00368,Client_368,West
C00369,Client_369,North
C00370,Client_370,East
C00371,Client_371,West
C00372,Client_372,East
C00373,Client_373,South
C00374,Client_374,West
C00375,Client_375,West
C00376,Client_376,North
C00377,Client_377,West
C00378,Client_378,East
C00379,Client_379,South
C00380,Client_380,East
C00381,Client_381,North
C00382,Client_382,East
C00383,Client_383,North
C00384,Client_384,East
C00385,Client_385,West
C00386,Client_386,East
C00387,Client_387,East
C00388,Client_388,South
C00389,Client_389,South
C00390,Client_390,East
C00391,Client_391,East
C00392,Client_392,South
C00393,Client_393,North
C00394,Client_394,East
C00395,Client_395,South
C00396,Client_396,South
C00397,Client_397,West
C00398,Client_398,West
C00399,Client_399,East
C00400,Client_400,North
C00401,Client_401,South
C00402,Client_402,West
C00403,Client_403,East
C00404,Client_404,North
C00405,Client_405,East
C00406,Client_406,East
C00407,Client_407,South
C00408,Client_408,South
C00409,Client_409,West
C00410,Client_410,North
C00411,Client_411,North
C00412,Client_412,North
C00413,Client_413,South
C00414,Client_414,South
C00415,Client_415,West
C00416,Client_416,South
C00417,Client_417,West
C00418,Client_418,West
C00419,Client_419,West
C00420,Client_420,South
C00421,Client_421,South
C00422,Client_422,East
C00423,Client_423,North
C00424,Client_424,East
C00425,Client_425,North
C00426,Client_426,West
C00427,Client_427,South
C00428,Client_428,East
C00429,Client_429,West
C00430,Client_430,North
C00431,Client_431,South
C00432,Client_432,East
C00433,Client_433,South
C00434,Client_434,West
C00435,Client_435,South
C00436,Client_436,East
C00437,Client_437,North
C00438,Client_438,West
C00439,Client_439,South
C00440,Client_440,East
C00441,Client_441,North
C00442,Client_442,East
C00443,Client_443,North
C00444,Client_444,South
C00445,Client_445,East
C00446,Client_446,South
C00447,Client_447,South
C00448,Client_448,West
C00449,Client_449,North
C00450,Client_450,South
C00451,Client_451,East
C00452,Client_452,North
C00453,Client_453,East
C00454,Client_454,North
C00455,Client_455,North
C00456,Client_456,West
C00457,Client_457,South
C00458,Client_458,West
C00459,Client_459,West
C00460,Client_460,East
C00461,Client_461,West
C00462,Client_462,East
C00463,Client_463,East
C00464,Client_464,North
C00465,Client_465,South
C00466,Client_466,East
C00467,Client_467,East
C00468,Client_468,West
C00469,Client_469,North
C00470,Client_470,West
C00471,Client_471,North
C00472,Client_472,West
C00473,Client_473,East
C00474,Client_474,West
C00475,Client_475,South
C00476,Client_476,North
C00477,Client_477,North
C00478,Client_478,North
C00479,Client_479,West
C00480,Client_480,North
C00481,Client_481,South
C00482,Client_482,South
C00483,Client_483,South
C00484,Client_484,East
C00485,Client_485,North
C00486,Client_486,West
C00487,Client_487,East
C00488,Client_488,East
C00489,Client_489,East
C00490,Client_490,South
C00491,Client_491,North
C00492,Client_492,North
C00493,Client_493,West
C00494,Client_494,East
C00495,Client_495,West
C00496,Client_496,South
C00497,Client_497,West
C00498,Client_498,West
C00499,Client_499,East
C00500,Client_500,South
C00501,Client_501,East
C00502,Client_502,West
C00503,Client_503,North
C00504,Client_504,West
C00505,Client_505,West
C00506,Client_506,South
C00507,Client_507,East
C00508,Client_508,South
C00509,Client_509,East
C00510,Client_510,South
C00511,Client_511,West
C00512,Client_512,South
C00513,Client_513,North
C00514,Client_514,East
C00515,Client_515,East
C00516,Client_516,West
C00517,Client_517,West
C00518,Client_518,East
C00519,Client_519,West
C00520,Client_520,South
C00521,Client_521,South
C00522,Client_522,West
C00523,Client_523,South
C00524,Client_524,West
C00525,Client_525,West
C00526,Client_526,North
C00527,Client_527,West
C00528,Client_528,East
C00529,Client_529,East
C00530,Client_530,West
C00531,Client_531,East
C00532,Client_532,West
C00533,Client_533,West
C00534,Client_534,South
C00535,Client_535,West
C00536,Client_536,East
C00537,Client_537,East
C00538,Client_538,West
C00539,Client_539,West
C00540,Client_540,West
C00541,Client_541,East
C00542,Client_542,East
C00543,Client_543,North
C00544,Client_544,West
C00545,Client_545,East
C00546,Client_546,North
C00547,Client_547,West
C00548,Client_548,North
C00549,Client_549,South
C00550,Client_550,West
C00551,Client_551,East
C00552,Client_552,West
C00553,Client_553,West
C00554,Client_554,North
C00555,Client_555,North
C00556,Client_556,West
C00557,Client_557,West
C00558,Client_558,South
C00559,Client_559,West
C00560,Client_560,South
C00561,Client_561,South
C00562,Client_562,North
C00563,Client_563,East
C00564,Client_564,West
C00565,Client_565,West
C00566,Client_566,North
C00567,Client_567,West
C00568,Client_568,East
C00569,Client_569,North
C00570,Client_570,North
C00571,Client_571,North
C00572,Client_572,South
C00573,Client_573,South
C00574,Client_574,South
C00575,Client_575,North
C00576,Client_576,East
C00577,Client_577,North
C00578,Client_578,South
C00579,Client_579,South
C00580,Client_580,West
C00581,Client_581,South
C00582,Client_582,South
C00583,Client_583,North
C00584,Client_584,East
C00585,Client_585,South
C00586,Client_586,West
C00587,Client_587,South
C00588,Client_588,South
C00589,Client_589,East
C00590,Client_590,East
C00591,Client_591,South
C00592,Client_592,South
C00593,Client_593,West
C00594,Client_594,South
C00595,Client_595,North
C00596,Client_596,West
C00597,Client_597,East
C00598,Client_598,East
C00599,Client_599,West
C00600,Client_600,East
C00601,Client_601,North
C00602,Client_602,West
C00603,Client_603,North
C00604,Client_604,East
C00605,Client_605,North
C00606,Client_606,North
C00607,Client_607,East
C00608,Client_608,South
C00609,Client_609,West
C00610,Client_610,East
C00611,Client_611,West
C00612,Client_612,East
C00613,Client_613,North
C00614,Client_614,East
C00615,Client_615,North
C00616,Client_616,West
C00617,Client_617,South
C00618,Client_618,East
C00619,Client_619,East
C00620,Client_620,East
C00621,Client_621,South
C00622,Client_622,North
C00623,Client_623,West
C00624,Client_624,East
C00625,Client_625,East
C00626,Client_626,East
C00627,Client_627,East
C00628,Client_628,South
C00629,Client_629,North
C00630,Client_630,South
C00631,Client_631,East
C00632,Client_632,East
C00633,Client_633,South
C00634,Client_634,North
C00635,Client_635,West
C00636,Client_636,North
C00637,Client_637,East
C00638,Client_638,East
C00639,Client_639,South
C00640,Client_640,North
C00641,Client_641,North
C00642,Client_642,East
C00643,Client_643,North
C00644,Client_644,South
C00645,Client_645,West
C00646,Client_646,North
C00647,Client_647,South
C00648,Client_648,North
C00649,Client_649,East
C00650,Client_650,East
C00651,Client_651,North
C00652,Client_652,South
C00653,Client_653,South
C00654,Client_654,West
C00655,Client_655,West
C00656,Client_656,West
C00657,Client_657,North
C00658,Client_658,West
C00659,Client_659,South
C00660,Client_660,West
C00661,Client_661,West
C00662,Client_662,East
C00663,Client_663,South
C00664,Client_664,North
C00665,Client_665,West
C00666,Client_666,North
C00667,Client_667,East
C00668,Client_668,West
C00669,Client_669,West
C00670,Client_670,West
C00671,Client_671,South
C00672,Client_672,West
C00673,Client_673,South
C00674,Client_674,West
C00675,Client_675,North
C00676,Client_676,South
C00677,Client_677,East
C00678,Client_678,East
C00679,Client_679,West
C00680,Client_680,West
C00681,Client_681,North
C00682,Client_682,North
C00683,Client_683,North
C00684,Client_684,East
C00685,Client_685,South
C00686,Client_686,East
C00687,Client_687,North
C00688,Client_688,East
C00689,Client_689,South
C00690,Client_690,South
C00691,Client_691,South
C00692,Client_692,West
C00693,Client_693,South
C00694,Client_694,North
C00695,Client_695,South
C00696,Client_696,North
C00697,Client_697,West
C00698,Client_698,South
C00699,Client_699,South
C00700,Client_700,West
C00701,Client_701,East
C00702,Client_702,East
C00703,Client_703,West
C00704,Client_704,South
C00705,Client_705,South
C00706,Client_706,West
C00707,Client_707,West
C00708,Client_708,South
C00709,Client_709,North
C00710,Client_710,East
C00711,Client_711,North
C00712,Client_712,North
C00713,Client_713,West
C00714,Client_714,North
C00715,Client_715,North
C00716,Client_716,North
C00717,Client_717,South
C00718,Client_718,North
C00719,Client_719,East
C00720,Client_720,East
C00721,Client_721,West
C00722,Client_722,South
C00723,Client_723,North
C00724,Client_724,West
C00725,Client_725,South
C00726,Client_726,North
C00727,Client_727,South
C00728,Client_728,East
C00729,Client_729,North
C00730,Client_730,North
C00731,Client_731,South
C00732,Client_732,West
C00733,Client_733,North
C00734,Client_734,South
C00735,Client_735,West
C00736,Client_736,South
C00737,Client_737,North
C00738,Client_738,West
C00739,Client_739,West
C00740,Client_740,North
C00741,Client_741,West
C00742,Client_742,South
C00743,Client_743,West
C00744,Client_744,East
C00745,Client_745,North
C00746,Client_746,South
C00747,Client_747,East
C00748,Client_748,East
C00749,Client_749,North
C00750,Client_750,West
C00751,Client_751,North
C00752,Client_752,West
C00753,Client_753,North
C00754,Client_754,West
C00755,Client_755,North
C00756,Client_756,East
C00757,Client_757,East
C00758,Client_758,North
C00759,Client_759,South
C00760,Client_760,West
C00761,Client_761,West
C00762,Client_762,West
C00763,Client_763,North
C00764,Client_764,South
C00765,Client_765,East
C00766,Client_766,East
C00767,Client_767,East
C00768,Client_768,South
C00769,Client_769,North
C00770,Client_770,South
C00771,Client_771,South
C00772,Client_772,East
C00773,Client_773,West
C00774,Client_774,East
C00775,Client_775,North
C00776,Client_776,North
C00777,Client_777,West
C00778,Client_778,South
C00779,Client_779,North
C00780,Client_780,North
C00781,Client_781,South
C00782,Client_782,South
C00783,Client_783,South
C00784,Client_784,North
C00785,Client_785,West
C00786,Client_786,South
C00787,Client_787,South
C00788,Client_788,North
C00789,Client_789,North
C00790,Client_790,North
C00791,Client_791,West
C00792,Client_792,South
C00793,Client_793,North
C00794,Client_794,East
C00795,Client_795,East
C00796,Client_796,West
C00797,Client_797,North
C00798,Client_798,South
C00799,Client_799,North
C00800,Client_800,North
C00801,Client_801,West
C00802,Client_802,West
C00803,Client_803,South
C00804,Client_804,North
C00805,Client_805,East
C00806,Client_806,West
C00807,Client_807,East
C00808,Client_808,East
C00809,Client_809,West
C00810,Client_810,West
C00811,Client_811,East
C00812,Client_812,West
C00813,Client_813,East
C00814,Client_814,East
C00815,Client_815,North
C00816,Client_816,West
C00817,Client_817,South
C00818,Client_818,East
C00819,Client_819,North
C00820,Client_820,North
C00821,Client_821,North
C00822,Client_822,South
C00823,Client_823,South
C00824,Client_824,East
C00825,Client_825,North
C00826,Client_826,South
C00827,Client_827,South
C00828,Client_828,East
C00829,Client_829,East
C00830,Client_830,North
C00831,Client_831,South
C00832,Client_832,East
C00833,Client_833,West
C00834,Client_834,East
C00835,Client_835,East
C00836,Client_836,North
C00837,Client_837,West
C00838,Client_838,North
C00839,Client_839,South
C00840,Client_840,North
C00841,Client_841,East
C00842,Client_842,East
C00843,Client_843,North
C00844,Client_844,West
C00845,Client_845,West
C00846,Client_846,South
C00847,Client_847,South
C00848,Client_848,East
C00849,Client_849,East
C00850,Client_850,West
C00851,Client_851,West
C00852,Client_852,West
C00853,Client_853,East
C00854,Client_854,East
C00855,Client_855,South
C00856,Client_856,South
C00857,Client_857,North
C00858,Client_858,South
C00859,Client_859,North
C00860,Client_860,North
C00861,Client_861,West
C00862,Client_862,East
C00863,Client_863,West
C00864,Client_864,North
C00865,Client_865,South
C00866,Client_866,West
C00867,Client_867,East
C00868,Client_868,West
C00869,Client_869,East
C00870,Client_870,West
C00871,Client_871,South
C00872,Client_872,North
C00873,Client_873,West
C00874,Client_874,North
C00875,Client_875,West
C00876,Client_876,East
C00877,Client_877,North
C00878,Client_878,North
C00879,Client_879,West
C00880,Client_880,North
C00881,Client_881,South
C00882,Client_882,North
C00883,Client_883,South
C00884,Client_884,North
C00885,Client_885,West
C00886,Client_886,West
C00887,Client_887,East
C00888,Client_888,North
C00889,Client_889,South
C00890,Client_890,South
C00891,Client_891,West
C00892,Client_892,South
C00893,Client_893,West
C00894,Client_894,North
C00895,Client_895,South
C00896,Client_896,North
C00897,Client_897,East
C00898,Client_898,East
C00899,Client_899,West
C00900,Client_900,South
C00901,Client_901,West
C00902,Client_902,West
C00903,Client_903,North
C00904,Client_904,North
C00905,Client_905,East
C00906,Client_906,East
C00907,Client_907,North
C00908,Client_908,North
C00909,Client_909,East
C00910,Client_910,East
C00911,Client_911,North
C00912,Client_912,North
C00913,Client_913,West
C00914,Client_914,North
C00915,Client_915,West
C00916,Client_916,South
C00917,Client_917,West
C00918,Client_918,North
C00919,Client_919,East
C00920,Client_920,North
C00921,Client_921,West
C00922,Client_922,West
C00923,Client_923,East
C00924,Client_924,North
C00925,Client_925,West
C00926,Client_926,North
C00927,Client_927,West
C00928,Client_928,South
C00929,Client_929,North
C00930,Client_930,South
C00931,Client_931,West
C00932,Client_932,South
C00933,Client_933,North
C00934,Client_934,West
C00935,Client_935,North
C00936,Client_936,North
C00937,Client_937,North
C00938,Client_938,North
C00939,Client_939,East
C00940,Client_940,North
C00941,Client_941,West
C00942,Client_942,North
C00943,Client_943,East
C00944,Client_944,South
C00945,Client_945,North
C00946,Client_946,South
C00947,Client_947,South
C00948,Client_948,East
C00949,Client_949,West
C00950,Client_950,East
C00951,Client_951,North
C00952,Client_952,North
C00953,Client_953,West
C00954,Client_954,East
C00955,Client_955,North
C00956,Client_956,East
C00957,Client_957,North
C00958,Client_958,West
C00959,Client_959,West
C00960,Client_960,North
C00961,Client_961,East
C00962,Client_962,East
C00963,Client_963,East
C00964,Client_964,South
C00965,Client_965,North
C00966,Client_966,South
C00967,Client_967,East
C00968,Client_968,North
C00969,Client_969,West
C00970,Client_970,North
C00971,Client_971,East
C00972,Client_972,South
C00973,Client_973,South
C00974,Client_974,East
C00975,Client_975,West
C00976,Client_976,South
C00977,Client_977,North
C00978,Client_978,South
C00979,Client_979,South
C00980,Client_980,East
C00981,Client_981,North
C00982,Client_982,North
C00983,Client_983,West
C00984,Client_984,South
C00985,Client_985,West
C00986,Client_986,West
C00987,Client_987,North
C00988,Client_988,West
C00989,Client_989,East
C00990,Client_990,West
C00991,Client_991,North
C00992,Client_992,East
C00993,Client_993,North
C00994,Client_994,West
C00995,Client_995,South
C00996,Client_996,North
C00997,Client_997,North
C00998,Client_998,East
C00999,Client_999,South
C01000,Client_1000,North
