transaction_id,customer_id,transaction_date,amount,currency,transaction_type,channel,status
136,347,2024-03-17,262.78,GBP,TRANSFER,BRANCH,POSTED
137,0,2024-03-12,3392.22,USD,CREDIT,ONLINE,PENDING
138,0,2024-03-25,708.0,USD,CREDIT,MOBILE,POSTED
139,0,2024-01-11,1548.6,USD,TRANSFER,BRANCH,POSTED
140,0,2024-03-28,4562.33,EUR,TRANSFER,MOBILE,REVERSED
141,0,2024-02-16,1545.02,EUR,CREDIT,MOBILE,POSTED
142,0,2024-01-18,775.57,USD,DEBIT,ATM,REVERSED
143,0,2024-03-20,656.11,USD,DEBIT,ONLINE,POSTED
144,394,2024-03-20,4045.41,EUR,TRANSFER,MOBILE,POSTED
145,0,2024-03-27,3598.21,USD,TRANSFER,BRANCH,REVERSED
146,119,2024-03-09,1196.6,USD,DEBIT,BRANCH,REVERSED
147,225,2024-02-29,3847.42,USD,TRANSFER,MOBILE,POSTED
148,410,2024-03-18,692.85,USD,DEBIT,MOBILE,PENDING
149,0,2024-01-14,3557.29,GBP,DEBIT,BRANCH,POSTED
150,139,2024-02-27,4526.63,EUR,CREDIT,ATM,POSTED
151,452,2024-02-14,4652.43,USD,DEBIT,MOBILE,REVERSED
152,0,2024-02-19,4972.63,USD,DEBIT,ATM,PENDING
153,429,2024-03-24,1677.12,EUR,DEBIT,ATM,PENDING
154,241,2024-03-30,4155.72,GBP,CREDIT,MOBILE,REVERSED
155,0,2024-01-11,96.0,EUR,DEBIT,MOBILE,POSTED
156,121,2024-02-08,610.12,EUR,CREDIT,MOBILE,POSTED
157,0,2024-03-04,2984.1,EUR,TRANSFER,ONLINE,REVERSED
158,0,2024-02-24,8.82,USD,DEBIT,MOBILE,POSTED
159,0,2024-01-11,2617.9,USD,DEBIT,ATM,PENDING
160,22,2024-03-22,1935.02,USD,CREDIT,ATM,PENDING
161,176,2024-01-31,3664.97,GBP,DEBIT,BRANCH,POSTED
162,0,2024-03-10,1693.4,GBP,DEBIT,MOBILE,REVERSED
163,0,2024-01-24,4057.68,EUR,TRANSFER,MOBILE,POSTED
164,0,2024-01-06,3955.75,EUR,CREDIT,BRANCH,REVERSED
165,0,2024-03-10,2367.53,EUR,TRANSFER,ONLINE,PENDING
166,0,2024-01-07,4329.13,USD,CREDIT,ATM,PENDING
167,0,2024-02-21,3716.8,USD,CREDIT,ONLINE,PENDING
168,0,2024-02-17,4621.63,GBP,CREDIT,ATM,REVERSED
169,0,2024-02-25,3012.66,EUR,TRANSFER,BRANCH,PENDING
170,0,2024-02-11,3304.94,USD,CREDIT,MOBILE,POSTED
171,0,2024-02-14,2236.2,GBP,CREDIT,MOBILE,PENDING
172,0,2024-01-08,376.13,GBP,CREDIT,BRANCH,REVERSED
173,347,2024-01-21,4763.99,EUR,TRANSFER,MOBILE,POSTED
174,0,2024-01-31,3892.8,USD,CREDIT,MOBILE,REVERSED
175,0,2024-01-20,3395.63,USD,CREDIT,MOBILE,POSTED
176,0,2024-03-08,1835.38,USD,TRANSFER,BRANCH,POSTED
177,13,2024-01-24,2495.72,USD,TRANSFER,ATM,PENDING
178,360,2024-02-27,1073.64,GBP,CREDIT,MOBILE,POSTED
179,0,2024-01-10,2260.76,GBP,CREDIT,ATM,REVERSED
180,163,2024-03-26,1737.78,EUR,TRANSFER,BRANCH,PENDING
181,364,2024-03-30,3188.86,USD,TRANSFER,ONLINE,POSTED
182,405,2024-01-18,1184.44,USD,DEBIT,BRANCH,REVERSED
183,0,2024-02-29,4018.5,GBP,DEBIT,ATM,POSTED
184,0,2024-03-02,2628.95,USD,TRANSFER,ATM,POSTED
185,328,2024-01-10,2250.42,GBP,TRANSFER,BRANCH,POSTED
186,399,2024-03-11,3199.33,EUR,DEBIT,MOBILE,REVERSED
187,28,2024-01-16,2590.99,USD,DEBIT,ONLINE,PENDING
188,115,2024-02-14,4737.47,GBP,CREDIT,ATM,PENDING
189,0,2024-03-11,1372.98,GBP,CREDIT,ATM,REVERSED
190,0,2024-03-16,4708.09,EUR,DEBIT,BRANCH,REVERSED
191,0,2024-01-04,407.03,GBP,TRANSFER,BRANCH,REVERSED
192,0,2024-03-14,2083.52,GBP,DEBIT,MOBILE,REVERSED
193,0,2024-03-23,4783.29,USD,DEBIT,MOBILE,PENDING
194,0,2024-03-29,300.51,USD,CREDIT,MOBILE,PENDING
195,0,2024-03-18,719.2,GBP,CREDIT,BRANCH,PENDING
196,0,2024-02-17,2575.39,EUR,CREDIT,ONLINE,PENDING
197,0,2024-02-27,1240.35,EUR,DEBIT,BRANCH,PENDING
198,214,2024-02-01,4813.47,EUR,CREDIT,BRANCH,POSTED
199,255,2024-03-06,2334.61,USD,CREDIT,ATM,POSTED
200,258,2024-02-28,4833.47,EUR,TRANSFER,BRANCH,POSTED
201,0,2024-03-04,2988.0,GBP,TRANSFER,MOBILE,PENDING
202,0,2024-01-14,2155.21,USD,TRANSFER,BRANCH,PENDING
203,0,2024-02-21,256.74,GBP,DEBIT,BRANCH,REVERSED
204,0,2024-02-19,2521.77,GBP,CREDIT,ATM,POSTED
205,201,2024-02-17,3974.69,USD,TRANSFER,BRANCH,POSTED
206,0,2024-03-06,2007.53,EUR,DEBIT,ATM,POSTED
207,,2024-03-01,2597.14,EUR,TRANSFER,ONLINE,PENDING
208,163,2024-01-21,1965.38,GBP,TRANSFER,BRANCH,REVERSED
209,0,2024-03-06,2662.17,GBP,TRANSFER,BRANCH,PENDING
210,188,2024-02-12,3369.36,USD,TRANSFER,BRANCH,REVERSED
211,322,2024-01-04,2984.95,USD,TRANSFER,ONLINE,REVERSED
212,0,2024-03-02,853.39,GBP,TRANSFER,MOBILE,POSTED
213,124,2024-01-05,2863.28,GBP,DEBIT,ONLINE,POSTED
214,0,2024-02-23,758.0,GBP,DEBIT,MOBILE,REVERSED
215,471,2024-03-01,4364.22,GBP,TRANSFER,ATM,REVERSED
216,0,2024-01-27,2804.87,GBP,CREDIT,MOBILE,PENDING
217,235,2024-03-09,1712.29,USD,TRANSFER,BRANCH,REVERSED
218,0,2024-02-01,1395.75,USD,DEBIT,BRANCH,PENDING
219,,2024-03-29,3525.24,USD,CREDIT,BRANCH,REVERSED
220,407,2024-02-05,1439.66,GBP,TRANSFER,MOBILE,PENDING
221,488,2024-01-19,1452.97,USD,TRANSFER,ATM,PENDING
222,335,2024-02-02,3736.95,EUR,DEBIT,BRANCH,REVERSED
223,0,2024-01-18,547.02,GBP,TRANSFER,ONLINE,POSTED
224,0,2024-03-08,1129.13,EUR,DEBIT,ATM,PENDING
225,0,2024-03-01,503.62,EUR,DEBIT,ONLINE,PENDING
226,0,2024-03-01,2387.77,EUR,CREDIT,BRANCH,PENDING
227,0,2024-01-12,3261.84,EUR,TRANSFER,ATM,POSTED
228,0,2024-01-23,4669.68,EUR,CREDIT,MOBILE,POSTED
229,492,2024-02-07,4383.84,EUR,CREDIT,ATM,PENDING
230,0,2024-03-23,2716.96,USD,DEBIT,MOBILE,PENDING
231,0,2024-01-15,1654.09,GBP,CREDIT,BRANCH,REVERSED
232,0,2024-02-13,3954.05,GBP,TRANSFER,ONLINE,POSTED
233,0,2024-03-22,4485.32,USD,TRANSFER,BRANCH,POSTED
234,0,2024-01-13,924.72,EUR,CREDIT,BRANCH,POSTED
235,0,2024-02-19,1178.37,USD,CREDIT,BRANCH,REVERSED
236,,2024-01-02,1308.5,USD,TRANSFER,ONLINE,POSTED
237,0,2024-02-29,1534.72,USD,TRANSFER,BRANCH,REVERSED
238,0,2024-02-07,1838.35,EUR,DEBIT,ONLINE,PENDING
239,0,2024-03-18,1868.75,GBP,TRANSFER,MOBILE,REVERSED
240,422,2024-01-28,3809.54,GBP,TRANSFER,ATM,REVERSED
241,0,2024-02-16,391.44,GBP,DEBIT,ATM,REVERSED
242,103,2024-03-14,2683.76,EUR,CREDIT,MOBILE,POSTED
243,0,2024-03-15,2444.65,GBP,CREDIT,ATM,PENDING
244,0,2024-02-23,2284.54,EUR,TRANSFER,MOBILE,REVERSED
245,370,2024-01-03,1980.35,EUR,TRANSFER,ONLINE,REVERSED
246,0,2024-02-24,1723.3,EUR,TRANSFER,ATM,POSTED
247,241,2024-01-05,1436.17,EUR,DEBIT,MOBILE,PENDING
248,195,2024-02-27,4348.23,USD,CREDIT,ATM,REVERSED
249,447,2024-03-10,665.82,USD,DEBIT,ONLINE,REVERSED
250,0,2024-01-17,3639.56,EUR,DEBIT,ATM,PENDING
251,0,2024-03-10,2121.22,USD,DEBIT,ONLINE,PENDING
252,0,2024-02-05,943.21,GBP,DEBIT,ATM,REVERSED
253,0,2024-01-03,1204.09,EUR,DEBIT,ATM,PENDING
254,0,2024-01-07,1224.43,EUR,CREDIT,MOBILE,POSTED
255,0,2024-01-08,701.54,USD,DEBIT,BRANCH,REVERSED
256,0,2024-03-27,4092.09,EUR,CREDIT,ONLINE,REVERSED
257,0,2024-02-22,1503.2,EUR,TRANSFER,ONLINE,REVERSED
258,0,2024-03-12,2478.61,USD,TRANSFER,MOBILE,REVERSED
259,0,2024-02-23,2041.89,USD,CREDIT,ONLINE,REVERSED
260,0,2024-01-29,1504.38,GBP,DEBIT,MOBILE,POSTED
261,0,2024-02-23,2786.88,EUR,CREDIT,ONLINE,PENDING
262,0,2024-03-23,396.27,USD,CREDIT,ATM,REVERSED
263,,2024-01-25,258.63,USD,TRANSFER,ATM,POSTED
264,0,2024-03-16,3621.8,GBP,DEBIT,MOBILE,POSTED
265,170,2024-02-08,4785.14,EUR,DEBIT,ONLINE,REVERSED
266,0,2024-03-02,4572.29,GBP,TRANSFER,ONLINE,PENDING
267,282,2024-02-11,3877.79,USD,CREDIT,BRANCH,PENDING
268,0,2024-03-06,4414.18,USD,DEBIT,MOBILE,PENDING
269,189,2024-02-10,2070.24,GBP,DEBIT,ONLINE,POSTED
270,0,2024-03-15,2896.14,USD,CREDIT,ONLINE,POSTED
271,0,2024-02-18,2849.38,EUR,CREDIT,BRANCH,PENDING
272,250,2024-03-23,3698.23,USD,DEBIT,BRANCH,POSTED
273,0,2024-03-10,2442.09,GBP,TRANSFER,ATM,REVERSED
274,0,2024-01-10,4726.0,GBP,DEBIT,ATM,PENDING
275,0,2024-03-21,1157.94,GBP,DEBIT,ATM,POSTED
276,0,2024-02-17,303.19,GBP,TRANSFER,MOBILE,REVERSED
277,0,2024-01-01,2661.53,USD,DEBIT,ATM,REVERSED
278,,2024-03-09,4887.42,EUR,TRANSFER,MOBILE,POSTED
279,0,2024-01-13,2622.4,EUR,DEBIT,BRANCH,PENDING
280,0,2024-02-20,396.02,USD,CREDIT,ONLINE,REVERSED
281,0,2024-03-28,4140.48,EUR,TRANSFER,ATM,POSTED
282,0,2024-02-18,2763.95,EUR,TRANSFER,ATM,REVERSED
283,0,2024-03-04,4226.8,GBP,CREDIT,ATM,REVERSED
284,117,2024-01-28,4506.46,GBP,TRANSFER,MOBILE,PENDING
285,0,2024-01-10,3422.46,USD,TRANSFER,ATM,POSTED
286,161,2024-01-03,4807.38,GBP,DEBIT,MOBILE,POSTED
287,0,2024-03-13,1203.12,USD,TRANSFER,BRANCH,PENDING
288,71,2024-03-29,3621.09,GBP,TRANSFER,BRANCH,POSTED
289,0,2024-01-30,4193.53,USD,TRANSFER,MOBILE,PENDING
290,0,2024-02-04,3917.96,USD,CREDIT,ONLINE,PENDING
291,0,2024-02-18,2159.81,GBP,TRANSFER,MOBILE,POSTED
292,151,2024-02-01,3565.83,EUR,CREDIT,ONLINE,PENDING
293,,2024-03-22,772.23,USD,CREDIT,BRANCH,POSTED
294,0,2024-02-09,2224.23,USD,DEBIT,ONLINE,POSTED
295,0,2024-02-27,2785.37,GBP,CREDIT,ATM,POSTED
296,0,2024-03-11,466.23,GBP,CREDIT,MOBILE,POSTED
297,0,2024-02-19,3896.07,GBP,TRANSFER,ONLINE,REVERSED
298,0,2024-03-28,1904.28,EUR,CREDIT,BRANCH,PENDING
299,0,2024-01-09,836.87,USD,CREDIT,BRANCH,PENDING
300,184,2024-02-02,4721.17,GBP,TRANSFER,MOBILE,REVERSED
301,0,2024-02-28,535.75,USD,DEBIT,MOBILE,PENDING
302,194,2024-02-12,2201.67,USD,TRANSFER,ONLINE,PENDING
303,0,2024-03-29,1005.06,USD,DEBIT,MOBILE,PENDING
304,0,2024-03-29,3164.88,GBP,DEBIT,BRANCH,PENDING
305,0,2024-02-20,1825.71,GBP,DEBIT,ONLINE,REVERSED
306,13,2024-02-29,4714.93,EUR,CREDIT,BRANCH,REVERSED
307,0,2024-02-22,3365.22,EUR,TRANSFER,BRANCH,POSTED
308,0,2024-01-20,3576.47,USD,DEBIT,MOBILE,REVERSED
309,0,2024-02-21,2672.3,GBP,CREDIT,ATM,PENDING
310,,2024-03-09,2969.51,EUR,DEBIT,ONLINE,REVERSED
311,0,2024-01-22,3235.35,EUR,TRANSFER,MOBILE,PENDING
312,220,2024-01-14,53.73,USD,DEBIT,ONLINE,PENDING
313,0,2024-02-29,3861.94,GBP,TRANSFER,ONLINE,PENDING
314,247,2024-01-14,1477.87,EUR,DEBIT,ONLINE,PENDING
315,0,2024-02-28,3921.57,GBP,CREDIT,BRANCH,PENDING
316,0,2024-03-30,2262.78,EUR,CREDIT,ATM,REVERSED
317,0,2024-02-13,3240.2,GBP,DEBIT,ONLINE,REVERSED
318,0,2024-01-21,1655.62,USD,CREDIT,ONLINE,PENDING
319,0,2024-01-24,3202.75,USD,CREDIT,ATM,REVERSED
320,0,2024-01-26,2248.43,USD,CREDIT,ATM,REVERSED
321,0,2024-02-05,3761.88,EUR,TRANSFER,ATM,REVERSED
322,0,2024-02-11,986.17,EUR,CREDIT,MOBILE,REVERSED
323,160,2024-03-17,1943.81,USD,TRANSFER,ATM,PENDING
324,0,2024-02-28,3087.2,GBP,TRANSFER,BRANCH,REVERSED
325,0,2024-03-27,670.6,EUR,DEBIT,BRANCH,POSTED
326,0,2024-03-29,707.65,USD,CREDIT,ONLINE,REVERSED
327,0,2024-01-24,2433.86,GBP,TRANSFER,ONLINE,REVERSED
328,0,2024-02-06,702.34,USD,CREDIT,ATM,PENDING
329,248,2024-01-18,976.45,USD,TRANSFER,MOBILE,PENDING
330,0,2024-02-23,3551.0,USD,CREDIT,ONLINE,POSTED
331,0,2024-01-29,1461.16,USD,DEBIT,BRANCH,POSTED
332,289,2024-03-04,2749.08,EUR,TRANSFER,ATM,PENDING
333,421,2024-02-16,2710.67,EUR,TRANSFER,MOBILE,REVERSED
334,0,2024-02-24,512.98,GBP,DEBIT,BRANCH,POSTED
335,0,2024-02-14,4311.14,EUR,CREDIT,ATM,POSTED
336,0,2024-03-16,3445.98,GBP,TRANSFER,MOBILE,POSTED
337,0,2024-01-27,4067.84,EUR,TRANSFER,BRANCH,REVERSED
338,0,2024-03-09,842.72,GBP,CREDIT,BRANCH,REVERSED
339,0,2024-03-06,4927.46,GBP,DEBIT,ONLINE,PENDING
340,141,2024-03-24,635.31,EUR,DEBIT,ONLINE,REVERSED
341,0,2024-02-01,3807.61,GBP,CREDIT,MOBILE,POSTED
342,0,2024-02-04,3139.44,USD,CREDIT,ATM,REVERSED
343,393,2024-01-12,2014.85,GBP,CREDIT,BRANCH,PENDING
344,167,2024-03-15,13.36,GBP,DEBIT,MOBILE,REVERSED
345,0,2024-02-15,4250.68,GBP,CREDIT,ONLINE,PENDING
346,253,2024-02-04,1615.0,USD,CREDIT,ONLINE,REVERSED
347,403,2024-02-13,4470.88,EUR,DEBIT,ATM,REVERSED
348,235,2024-01-03,622.06,EUR,CREDIT,MOBILE,POSTED
349,219,2024-01-26,4978.47,EUR,TRANSFER,BRANCH,POSTED
350,448,2024-02-05,467.61,USD,CREDIT,ATM,PENDING
351,0,2024-03-24,828.46,USD,TRANSFER,BRANCH,REVERSED
352,0,2024-01-30,2146.73,EUR,TRANSFER,ATM,POSTED
353,0,2024-01-10,664.37,EUR,TRANSFER,MOBILE,POSTED
354,0,2024-02-13,4085.73,USD,TRANSFER,ONLINE,PENDING
355,0,2024-02-19,447.57,EUR,DEBIT,BRANCH,PENDING
356,70,2024-02-18,3867.53,EUR,TRANSFER,ONLINE,POSTED
357,0,2024-01-02,3051.99,EUR,CREDIT,BRANCH,REVERSED
358,0,2024-01-20,4599.55,GBP,TRANSFER,MOBILE,POSTED
359,0,2024-01-13,700.93,EUR,TRANSFER,MOBILE,PENDING
360,161,2024-01-18,1239.68,GBP,DEBIT,ONLINE,REVERSED
361,0,2024-03-18,1425.32,GBP,DEBIT,BRANCH,POSTED
362,0,2024-03-06,944.04,USD,CREDIT,ATM,POSTED
363,0,2024-01-15,1206.17,GBP,TRANSFER,ATM,REVERSED
364,6,2024-02-16,4669.69,EUR,CREDIT,MOBILE,PENDING
365,0,2024-01-23,3813.87,EUR,DEBIT,ATM,POSTED
366,0,2024-01-06,4612.97,USD,TRANSFER,BRANCH,REVERSED
367,,2024-02-23,2118.45,USD,DEBIT,ONLINE,PENDING
368,0,2024-01-11,2557.01,EUR,DEBIT,BRANCH,PENDING
369,0,2024-03-24,3405.6,EUR,CREDIT,MOBILE,REVERSED
370,122,2024-01-08,1223.15,USD,DEBIT,MOBILE,REVERSED
371,0,2024-02-09,3330.73,GBP,TRANSFER,ONLINE,POSTED
372,0,2024-01-18,3507.8,EUR,CREDIT,BRANCH,REVERSED
373,0,2024-02-03,835.65,EUR,TRANSFER,BRANCH,REVERSED
374,394,2024-01-04,1675.72,USD,CREDIT,ATM,PENDING
375,,2024-03-14,3138.04,USD,CREDIT,BRANCH,POSTED
376,0,2024-03-13,835.24,EUR,CREDIT,ATM,REVERSED
377,0,2024-01-15,1142.79,GBP,DEBIT,ATM,POSTED
378,0,2024-03-01,1820.52,EUR,DEBIT,ATM,REVERSED
379,365,2024-03-24,2097.43,USD,DEBIT,MOBILE,REVERSED
