id,client_id,amount,transaction_type,date
155,1006,626,withdrawal,2023-01-11
156,1007,100,withdrawal,2023-11-01
157,1009,501,purchase,2023-12-13
158,1010,373,purchase,2023-11-20
159,1018,377,refund,2023-06-19
160,1011,204,refund,2023-04-22
161,1017,609,refund,2023-10-10
162,1011,953,payment,2023-08-31
163,1014,1336,payment,2023-12-16
164,1010,404,payment,2023-03-09
165,1017,1227,withdrawal,2023-07-19
166,1002,1013,purchase,2023-04-13
167,1012,572,refund,2023-08-21
168,1012,1625,purchase,2023-12-06
169,1004,1816,payment,2023-06-15
170,1004,1967,withdrawal,2023-11-19
171,1016,1788,purchase,2023-06-29
172,1003,1863,transfer,2023-10-13
173,1004,1988,purchase,2023-06-09
174,1014,1691,payment,2023-10-19
175,1007,1065,refund,2023-07-09
176,1010,1440,transfer,2023-09-15
177,1001,713,payment,2023-09-26
178,1020,769,withdrawal,2023-12-05
179,1011,1697,transfer,2023-04-03
180,1010,466,purchase,2023-05-21
181,1009,1608,transfer,2023-11-16
182,1019,712,refund,2023-10-13
183,1002,521,payment,2023-04-29
184,1017,357,purchase,2023-07-22
185,1013,844,purchase,2023-06-06
186,1010,490,refund,2023-11-03
187,1017,1129,refund,2023-07-04
188,1012,1538,transfer,2023-09-09
189,1015,217,payment,2023-03-13
190,1007,687,withdrawal,2023-06-27
191,1007,1814,refund,2023-11-05
192,1020,627,purchase,2023-06-11
193,1009,286,payment,2023-01-06
194,1016,1688,purchase,2023-12-21
195,1013,797,transfer,2023-05-04
196,1004,239,withdrawal,2023-11-18
197,1013,311,refund,2023-03-13
198,1017,1095,purchase,2023-03-26
199,1015,1048,purchase,2023-06-25
200,1004,394,transfer,2023-03-10
201,1013,1730,transfer,2023-11-05
202,1012,753,purchase,2023-06-02
203,1002,392,payment,2023-03-17
204,1019,226,refund,2023-06-18
205,1015,1439,withdrawal,2023-12-14
206,1017,1714,transfer,2023-06-18
207,1001,321,refund,2023-05-03
208,1009,167,refund,2023-11-03
209,1012,1065,refund,2023-12-27
210,1001,1574,transfer,2023-06-07
211,1017,1548,withdrawal,2023-09-10
212,1008,240,refund,2023-03-16
213,1002,600,refund,2023-04-27
214,1007,164,refund,2023-11-24
215,1008,745,withdrawal,2023-03-21
216,1009,1450,transfer,2023-06-22
217,1020,165,transfer,2023-05-09
218,1007,1659,transfer,2023-05-30
219,1006,1041,refund,2023-03-05
220,1015,1760,refund,2023-11-16
221,1020,906,withdrawal,2023-05-10
222,1013,1503,withdrawal,2023-10-04
223,1004,118,refund,2023-12-11
224,1007,741,withdrawal,2023-09-27
225,1009,1050,payment,2023-07-25
226,1011,735,withdrawal,2023-07-13
227,1009,485,withdrawal,2023-11-25
228,1013,1631,withdrawal,2023-02-03
229,1011,985,refund,2023-01-29
230,1016,1413,purchase,2023-10-22
231,1002,253,payment,2023-03-08
232,1009,194,withdrawal,2023-10-17
233,1005,403,transfer,2023-01-17
234,1005,912,purchase,2023-07-19
235,1010,1133,transfer,2023-04-01
236,1014,1586,transfer,2023-03-28
237,1007,960,payment,2023-11-04
238,1006,1846,refund,2023-06-07
239,1020,1056,withdrawal,2023-09-01
240,1002,1548,transfer,2023-04-25
241,1011,509,refund,2023-10-09
242,1002,472,withdrawal,2023-10-22
243,1013,1766,transfer,2023-03-19
244,1018,988,refund,2023-03-07
245,1004,718,withdrawal,2023-10-26
246,1003,1326,purchase,2023-07-19
247,1007,798,transfer,2023-08-06
248,1007,402,refund,2023-10-21
249,1016,210,payment,2023-09-28
250,1018,120,refund,2023-12-08
251,1013,1475,payment,2023-07-27
252,1006,1795,withdrawal,2023-11-09
253,1017,440,payment,2023-10-18
254,1011,1810,purchase,2023-04-17
255,1009,1847,payment,2023-05-29
256,1015,1697,refund,2023-08-18
257,1012,1652,transfer,2023-05-23
258,1015,1222,refund,2023-09-17
259,1018,953,withdrawal,2023-07-22
260,1006,1285,refund,2023-09-07
261,1011,414,payment,2023-01-26
262,1010,434,transfer,2023-09-14
263,1005,693,purchase,2023-03-24
264,1009,293,refund,2023-02-04
265,1017,108,payment,2023-10-07
266,1020,172,withdrawal,2023-02-10
267,1003,1676,purchase,2023-05-23
268,1015,1938,payment,2023-02-20
269,1019,1746,refund,2023-08-01
270,1007,107,transfer,2023-10-29
271,1017,260,transfer,2023-04-19
272,1014,1499,transfer,2023-02-14
273,1017,1020,transfer,2023-03-09
274,1012,303,withdrawal,2023-05-29
275,1011,1321,refund,2023-04-26
276,1003,813,payment,2023-12-30
277,1001,608,purchase,2023-01-01
278,1003,688,payment,2023-03-26
279,1013,258,withdrawal,2023-10-10
280,1019,1042,refund,2023-12-17
281,1017,1212,withdrawal,2023-01-29
282,1019,1432,transfer,2023-03-28
283,1011,1906,purchase,2023-05-09
284,1010,1573,payment,2023-05-14
285,1013,669,purchase,2023-03-19
286,1012,1173,payment,2023-11-20
287,1014,1694,refund,2023-12-28
288,1007,1071,withdrawal,2023-01-23
289,1016,1068,purchase,2023-04-23
290,1016,1993,refund,2023-08-02
291,1020,267,purchase,2023-01-29
292,1018,1412,refund,2023-03-09
293,1004,621,refund,2023-01-14
294,1013,312,withdrawal,2023-12-08
295,1005,811,purchase,2023-03-16
296,1009,1720,payment,2023-07-07
297,1013,594,refund,2023-08-19
298,1009,1887,withdrawal,2023-01-17
299,1011,1548,transfer,2023-04-19
300,1016,704,transfer,2023-06-21
301,1001,493,payment,2023-09-17
302,1010,1731,payment,2023-03-10
303,1006,937,purchase,2023-09-03
304,1001,239,withdrawal,2023-12-17
305,1002,438,payment,2023-01-05
306,1011,1895,transfer,2023-07-23
307,1002,581,payment,2023-11-06
308,1006,1520,refund,2023-07-26
309,1018,370,refund,2023-01-21
310,1018,1169,refund,2023-01-11
311,1011,1320,transfer,2023-05-27
312,1008,976,purchase,2023-02-03
313,1004,195,withdrawal,2023-08-20
314,1015,1885,payment,2023-02-20
315,1005,979,transfer,2023-08-06
316,1006,1667,refund,2023-02-05
317,1006,962,purchase,2023-10-15
318,1014,333,transfer,2023-11-24
319,1004,183,withdrawal,2023-08-24
320,1011,366,withdrawal,2023-06-16
321,1016,310,purchase,2023-06-28
322,1017,1699,purchase,2023-11-30
323,1020,1784,purchase,2023-12-01
324,1015,734,payment,2023-11-23
325,1013,1826,withdrawal,2023-09-18
326,1008,1336,transfer,2023-04-07
327,1004,773,transfer,2023-04-02
328,1020,166,payment,2023-02-15
329,1020,1350,payment,2023-03-21
330,1019,1751,transfer,2023-08-01
331,1015,1446,purchase,2023-01-28
332,1006,1492,refund,2023-03-29
333,1011,143,purchase,2023-08-13
334,1018,844,payment,2023-01-18
335,1020,431,payment,2023-03-02
336,1009,387,purchase,2023-10-20
337,1008,1254,withdrawal,2023-04-27
338,1014,230,purchase,2023-11-29
339,1005,646,purchase,2023-09-20
340,1015,127,transfer,2023-12-04
341,1011,1971,withdrawal,2023-08-23
342,1004,194,withdrawal,2023-10-10
343,1008,889,refund,2023-02-21
344,1012,459,withdrawal,2023-03-09
345,1006,184,refund,2023-09-10
346,1004,1197,withdrawal,2023-12-26
347,1011,1041,refund,2023-10-19
348,1006,1778,transfer,2023-05-04
349,1016,1297,withdrawal,2023-12-27
350,1010,323,purchase,2023-03-18
351,1001,972,transfer,2023-01-26
352,1004,910,refund,2023-01-09
353,1014,682,payment,2023-05-13
354,1014,521,withdrawal,2023-09-04
355,1020,233,refund,2023-09-28
356,1002,1279,transfer,2023-10-29
357,1006,802,transfer,2023-02-19
358,1008,1676,purchase,2023-11-25
359,1011,1079,transfer,2023-09-18
360,1010,1495,withdrawal,2023-10-03
361,1010,603,transfer,2023-10-07
362,1002,1396,payment,2023-05-12
363,1011,1018,payment,2023-10-21
364,1016,700,withdrawal,2023-04-15
365,1007,1297,payment,2023-09-30
366,1013,798,transfer,2023-12-13
367,1009,1243,purchase,2023-10-27
368,1013,1284,payment,2023-07-15
369,1008,1396,payment,2023-09-07
370,1015,875,withdrawal,2023-03-04
371,1007,1490,withdrawal,2023-07-01
372,1010,162,refund,2023-08-01
373,1006,1832,transfer,2023-09-26
374,1017,689,refund,2023-04-12
375,1007,285,refund,2023-05-03
376,1008,461,transfer,2023-09-30
377,1009,896,transfer,2023-05-09
378,1016,608,purchase,2023-10-03
379,1004,272,payment,2023-07-15
380,1005,1345,transfer,2023-02-19
381,1018,1943,purchase,2023-10-12
382,1013,198,payment,2023-09-15
383,1003,1302,refund,2023-11-28
384,1015,1611,withdrawal,2023-03-02
385,1018,489,refund,2023-06-14
386,1008,700,transfer,2023-10-11
387,1017,1119,refund,2023-10-20
388,1008,1487,refund,2023-07-01
389,1018,1216,refund,2023-08-25
390,1013,1297,payment,2023-02-06
391,1004,1803,refund,2023-06-09
392,1007,1402,refund,2023-04-25
393,1014,550,refund,2023-01-16
394,1013,1416,refund,2023-08-17
395,1005,1888,withdrawal,2023-01-06
396,1013,1671,transfer,2023-05-06
397,1019,1129,transfer,2023-05-14
398,1005,219,purchase,2023-05-20
399,1014,257,withdrawal,2023-05-03
400,1005,598,purchase,2023-07-11
401,1015,353,transfer,2023-11-02
402,1010,823,withdrawal,2023-10-16
403,1016,829,withdrawal,2023-11-09
404,1013,1043,payment,2023-12-18
405,1002,1303,payment,2023-08-13
406,1004,683,payment,2023-07-16
407,1017,1743,withdrawal,2023-06-25
408,1009,1034,withdrawal,2023-11-22
409,1016,1971,payment,2023-09-29
410,1016,508,refund,2023-11-15
411,1006,477,purchase,2023-02-26
412,1011,807,withdrawal,2023-06-07
413,1017,601,transfer,2023-06-06
414,1002,1381,transfer,2023-12-29
415,1005,820,refund,2023-07-09
416,1008,1765,payment,2023-10-19
417,1011,577,refund,2023-11-21
418,1009,1383,withdrawal,2023-07-23
419,1017,984,transfer,2023-07-17
420,1020,1068,withdrawal,2023-06-30
421,1019,427,payment,2023-04-11
422,1007,1519,payment,2023-11-19
423,1002,1433,payment,2023-06-26
424,1001,469,withdrawal,2023-07-11
425,1003,320,transfer,2023-08-08
426,1008,743,purchase,2023-10-16
427,1002,395,withdrawal,2023-09-06
428,1004,948,payment,2023-09-02
429,1001,140,refund,2023-03-31
430,1013,1753,payment,2023-08-02
431,1009,847,transfer,2023-03-21
432,1020,1123,payment,2023-10-22
433,1005,1465,withdrawal,2023-08-19
434,1006,565,payment,2023-07-31
435,1004,460,refund,2023-02-05
436,1012,275,withdrawal,2023-10-24
437,1002,623,transfer,2023-07-26
438,1002,1198,refund,2023-12-15
439,1019,1053,withdrawal,2023-10-04
440,1008,477,transfer,2023-01-06
441,1018,1358,purchase,2023-05-31
442,1006,765,withdrawal,2023-11-13
443,1016,103,refund,2023-07-18
444,1005,1855,purchase,2023-06-13
445,1013,558,refund,2023-09-09
446,1006,1336,purchase,2023-07-30
447,1008,1256,payment,2023-04-11
448,1012,1568,refund,2023-08-06
449,1015,1572,payment,2023-10-03
450,1012,447,withdrawal,2023-02-05
451,1016,1951,purchase,2023-05-19
452,1006,1116,transfer,2023-02-28
453,1007,1402,refund,2023-10-19
454,1003,1341,payment,2023-03-09
455,1017,1404,withdrawal,2023-04-13
456,1006,450,transfer,2023-05-18
457,1004,1000,withdrawal,2023-09-19
458,1013,372,purchase,2023-02-14
459,1019,1645,purchase,2023-06-28
460,1001,523,refund,2023-04-02
461,1007,284,transfer,2023-08-28
462,1001,1299,payment,2023-09-01
463,1020,708,transfer,2023-11-20
464,1001,1172,payment,2023-05-12
465,1003,1448,purchase,2023-01-08
466,1002,995,payment,2023-07-09
467,1001,1298,transfer,2023-05-27
468,1019,721,transfer,2023-12-14
469,1018,1629,payment,2023-03-17
470,1001,1905,withdrawal,2023-11-21
471,1008,422,purchase,2023-11-07
472,1011,802,refund,2023-11-18
473,1008,1936,withdrawal,2023-10-26
474,1008,257,transfer,2023-05-09
475,1017,1586,transfer,2023-12-24
476,1001,1445,transfer,2023-02-03
477,1001,1450,purchase,2023-10-05
478,1007,550,payment,2023-02-22
479,1019,662,withdrawal,2023-12-11
480,1015,625,transfer,2023-10-28
481,1018,1064,withdrawal,2023-11-28
482,1010,1937,refund,2023-07-03
483,1002,1914,transfer,2023-03-24
484,1018,1926,purchase,2023-06-08
485,1020,614,refund,2023-08-05
486,1013,1346,payment,2023-11-13
487,1007,770,payment,2023-09-27
488,1012,1358,transfer,2023-06-29
489,1017,1055,payment,2023-03-17
490,1004,890,transfer,2023-01-26
491,1004,887,purchase,2023-11-28
492,1002,1543,payment,2023-04-29
493,1017,1037,purchase,2023-08-11
494,1018,479,transfer,2023-02-15
495,1020,1732,withdrawal,2023-12-16
496,1019,758,purchase,2023-04-09
497,1004,712,payment,2023-04-06
498,1005,1253,transfer,2023-03-19
499,1015,309,refund,2023-04-30
500,1001,129,transfer,2023-01-06
501,1006,332,withdrawal,2023-05-17
502,1006,1488,refund,2023-11-02
503,1004,1138,transfer,2023-05-23
504,1005,237,refund,2023-01-14
505,1014,1738,purchase,2023-07-11
506,1011,1224,purchase,2023-07-20
507,1002,382,payment,2023-02-13
508,1008,1200,withdrawal,2023-01-20
509,1003,1985,purchase,2023-06-23
510,1011,278,refund,2023-10-18
511,1004,1944,transfer,2023-04-20
512,1009,1222,transfer,2023-07-30
513,1005,226,purchase,2023-06-14
514,1015,821,payment,2023-01-23
515,1003,1007,withdrawal,2023-03-01
516,1018,1750,withdrawal,2023-09-16
517,1020,180,purchase,2023-11-03
518,1011,598,refund,2023-09-22
519,1011,398,transfer,2023-03-23
520,1002,1314,purchase,2023-12-01
521,1006,1963,payment,2023-06-03
522,1010,596,transfer,2023-12-17
523,1009,1345,withdrawal,2023-12-17
524,1012,1220,withdrawal,2023-11-19
525,1019,720,withdrawal,2023-05-09
526,1004,1108,payment,2023-12-27
527,1005,387,transfer,2023-07-15
528,1019,188,purchase,2023-04-16
529,1002,191,refund,2023-10-12
530,1006,1355,purchase,2023-02-05
531,1003,135,withdrawal,2023-12-15
532,1004,607,transfer,2023-11-07
533,1001,930,purchase,2023-05-11
534,1013,1860,purchase,2023-03-06
535,1011,1104,refund,2023-04-10
536,1014,1007,purchase,2023-01-07
537,1004,1131,withdrawal,2023-10-28
538,1017,1407,refund,2023-03-06
539,1017,1016,purchase,2023-07-20
540,1001,542,withdrawal,2023-12-07
541,1006,1364,transfer,2023-04-15
542,1020,1871,refund,2023-03-05
543,1015,1196,withdrawal,2023-06-19
544,1020,1786,purchase,2023-01-06
545,1007,1559,withdrawal,2023-07-10
546,1001,1133,payment,2023-02-10
547,1019,570,payment,2023-12-27
548,1009,1402,transfer,2023-03-20
549,1015,907,withdrawal,2023-11-10
550,1015,271,payment,2023-04-16
551,1018,759,withdrawal,2023-06-23
552,1010,1490,payment,2023-07-15
553,1016,460,payment,2023-04-13
554,1020,999,purchase,2023-05-22
555,1009,1616,refund,2023-02-26
556,1020,1378,refund,2023-08-12
557,1007,1333,transfer,2023-07-30
558,1006,1230,payment,2023-08-24
559,1019,1215,payment,2023-03-22
560,1017,1756,refund,2023-01-20
561,1020,251,withdrawal,2023-12-04
562,1016,748,withdrawal,2023-08-24
563,1020,377,purchase,2023-09-16
564,1010,1780,refund,2023-01-19
565,1016,730,refund,2023-08-26
566,1020,1967,payment,2023-12-19
567,1001,1479,payment,2023-11-19
568,1007,1656,withdrawal,2023-12-16
569,1018,1433,withdrawal,2023-10-07
570,1020,1619,transfer,2023-04-12
571,1016,548,refund,2023-11-22
572,1001,552,refund,2023-12-25
573,1006,767,withdrawal,2023-08-13
574,1013,279,purchase,2023-06-14
575,1012,1161,refund,2023-06-12
576,1012,637,withdrawal,2023-11-08
577,1012,1155,payment,2023-02-03
578,1007,727,payment,2023-08-17
579,1013,1745,refund,2023-05-22
580,1019,1383,transfer,2023-10-28
581,1008,1320,refund,2023-12-08
582,1003,669,withdrawal,2023-11-10
583,1006,1961,payment,2023-03-15
584,1007,1290,withdrawal,2023-07-14
585,1013,1352,withdrawal,2023-02-25
586,1012,1107,payment,2023-06-04
587,1006,1111,purchase,2023-05-31
588,1005,638,withdrawal,2023-07-13
589,1008,1514,transfer,2023-08-21
590,1008,711,purchase,2023-04-14
591,1018,1874,withdrawal,2023-05-04
592,1010,1569,transfer,2023-03-14
593,1004,919,payment,2023-05-20
594,1002,1968,transfer,2023-08-18
595,1013,207,withdrawal,2023-10-24
596,1017,1013,transfer,2023-10-09
597,1017,1872,refund,2023-11-05
598,1016,667,purchase,2023-07-31
599,1001,1579,transfer,2023-02-13
600,1011,286,purchase,2023-09-20
601,1010,1611,payment,2023-05-23
602,1017,1719,payment,2023-11-06
603,1019,593,refund,2023-10-29
604,1010,586,purchase,2023-07-29
605,1011,1290,transfer,2023-06-12
606,1007,927,payment,2023-07-01
607,1005,1723,transfer,2023-01-30
608,1018,985,purchase,2023-12-10
609,1006,1269,withdrawal,2023-02-04
610,1001,1187,refund,2023-03-29
611,1002,753,transfer,2023-06-19
612,1009,1052,payment,2023-12-19
613,1002,1347,transfer,2023-07-07
614,1018,1501,withdrawal,2023-09-19
615,1001,707,transfer,2023-10-30
616,1018,633,purchase,2023-03-23
617,1004,1629,withdrawal,2023-08-12
618,1020,230,transfer,2023-11-10
619,1019,645,payment,2023-10-06
620,1018,1107,refund,2023-08-24
621,1014,504,purchase,2023-10-31
622,1008,709,transfer,2023-07-31
623,1014,1078,withdrawal,2023-10-06
624,1009,1685,payment,2023-06-28
625,1014,1742,transfer,2023-04-08
626,1003,1129,refund,2023-02-20
627,1018,749,withdrawal,2023-10-10
628,1010,1038,withdrawal,2023-02-01
629,1002,665,transfer,2023-11-14
630,1016,812,withdrawal,2023-07-22
631,1011,724,refund,2023-04-27
632,1010,717,transfer,2023-10-27
633,1002,978,withdrawal,2023-06-28
634,1015,1523,refund,2023-06-05
635,1003,827,transfer,2023-01-20
636,1012,1662,withdrawal,2023-12-21
637,1005,1278,purchase,2023-12-22
638,1014,860,transfer,2023-09-26
639,1015,766,payment,2023-02-24
640,1013,1811,transfer,2023-01-24
641,1004,1261,transfer,2023-03-15
642,1003,691,purchase,2023-04-06
643,1019,1755,payment,2023-02-10
644,1006,1838,refund,2023-09-13
645,1013,1452,transfer,2023-06-05
646,1003,327,withdrawal,2023-11-27
647,1018,217,payment,2023-07-22
648,1019,1156,transfer,2023-01-26
649,1001,198,payment,2023-02-11
650,1009,698,purchase,2023-01-08
651,1013,1757,refund,2023-03-11
652,1007,1967,transfer,2023-02-21
653,1007,1984,withdrawal,2023-12-21
654,1016,197,payment,2023-07-05
655,1020,487,payment,2023-05-22
656,1012,1066,purchase,2023-05-31
657,1013,384,refund,2023-01-19
658,1012,212,payment,2023-01-31
659,1013,1825,transfer,2023-07-14
660,1011,497,transfer,2023-10-20
661,1010,1858,refund,2023-03-10
662,1007,1994,payment,2023-03-15
663,1004,1963,purchase,2023-06-02
664,1019,173,purchase,2023-02-19
665,1008,1689,withdrawal,2023-06-10
666,1013,1998,refund,2023-10-11
667,1002,1164,purchase,2023-03-17
668,1005,1318,refund,2023-02-27
669,1014,1606,payment,2023-05-18
670,1020,993,withdrawal,2023-10-13
671,1006,667,transfer,2023-01-23
672,1012,327,withdrawal,2023-03-26
673,1008,840,transfer,2023-10-16
674,1020,1455,payment,2023-01-16
675,1001,870,refund,2023-01-08
676,1006,1855,refund,2023-01-23
677,1010,426,withdrawal,2023-05-08
678,1006,1998,purchase,2023-07-02
679,1002,653,purchase,2023-05-20
680,1007,262,purchase,2023-03-06
681,1005,858,payment,2023-06-13
682,1002,1616,refund,2023-03-03
683,1006,1686,transfer,2023-05-13
684,1012,869,transfer,2023-09-16
685,1019,1488,transfer,2023-02-15
686,1002,1965,purchase,2023-06-30
687,1013,995,withdrawal,2023-05-26
688,1004,1321,refund,2023-09-13
689,1015,225,payment,2023-12-28
690,1016,1159,refund,2023-04-13
691,1008,1297,purchase,2023-08-24
692,1013,1128,transfer,2023-01-17
693,1014,1278,refund,2023-07-23
694,1001,318,transfer,2023-02-02
695,1010,1969,purchase,2023-12-02
696,1006,833,transfer,2023-02-08
697,1008,861,transfer,2023-11-20
698,1006,824,withdrawal,2023-10-21
699,1016,720,transfer,2023-01-04
700,1008,477,transfer,2023-08-18
701,1001,1173,purchase,2023-05-16
702,1018,1676,refund,2023-09-11
703,1011,700,withdrawal,2023-05-25
704,1001,1220,payment,2023-12-20
705,1006,623,withdrawal,2023-06-29
706,1017,1792,purchase,2023-07-24
707,1019,1218,transfer,2023-03-07
708,1012,1466,withdrawal,2023-04-24
709,1008,1801,refund,2023-09-16
710,1001,689,withdrawal,2023-12-11
711,1010,1527,withdrawal,2023-02-07
712,1005,1411,transfer,2023-05-03
713,1019,767,transfer,2023-11-07
714,1006,707,purchase,2023-09-06
715,1002,977,withdrawal,2023-06-19
716,1001,1087,transfer,2023-02-04
717,1017,568,withdrawal,2023-09-09
718,1018,1255,purchase,2023-08-28
719,1001,1676,payment,2023-03-27
720,1003,279,transfer,2023-10-26
721,1013,447,payment,2023-02-20
722,1008,258,transfer,2023-11-29
723,1017,555,withdrawal,2023-11-28
724,1020,530,purchase,2023-07-25
725,1006,1736,refund,2023-08-24
726,1005,1778,withdrawal,2023-04-30
727,1012,1214,withdrawal,2023-07-23
728,1019,924,purchase,2023-01-06
729,1002,492,withdrawal,2023-03-29
730,1014,1281,refund,2023-07-26
731,1013,1889,withdrawal,2023-04-09
732,1016,281,transfer,2023-03-26
733,1005,381,payment,2023-05-12
734,1005,1211,refund,2023-11-03
735,1007,157,transfer,2023-05-20
736,1008,1920,transfer,2023-08-06
737,1016,666,refund,2023-05-07
738,1005,453,refund,2023-07-13
739,1018,1660,refund,2023-03-06
740,1001,452,refund,2023-11-16
741,1009,1005,refund,2023-01-28
742,1006,456,transfer,2023-06-19
743,1014,377,purchase,2023-06-17
744,1015,1987,purchase,2023-12-17
745,1007,1693,payment,2023-06-15
746,1012,635,withdrawal,2023-08-01
747,1002,1121,withdrawal,2023-12-18
748,1006,868,withdrawal,2023-09-04
749,1004,705,transfer,2023-06-20
750,1008,216,refund,2023-03-24
751,1013,1416,refund,2023-08-30
752,1006,947,refund,2023-03-16
